vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti_x,jawatan_kabinet,jawatan_parlimen,gambar,parti_y
2,P096,Johor,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Singapore,Tuan,Jek Yeun Thong,,male,chinese,,,,,
2,,,Sarawak,Penghulu,Jinggut Anak Attan,,male,bumiputera,,,,,
2,,,Sarawak,Tuan,Kadam Anak Kiai,,male,bumiputera,,,,,
2,P045,Perak,Sitiawan,Tuan,Kam Woon Wah,,male,chinese,,,,,Perikatan - MCA
2,,,Sarawak,Tuan,Khoo Peng Loong,,male,chinese,,,,,
2,,,Sabah,Datu,Khoo Siak Chiew,,male,chinese,,,,,
2,,,Singapore,Tuan,Kow Kee Seng,,male,chinese,,,,,
2,,,Sarawak,Tuan,Edmund Langgu Anak Saga,,male,bumiputera,,,,,
2,,,Singapore,Tuan,Lee Kuan Yew,,male,chinese,,,,,
2,P090,Johor,Segamat Selatan,Tuan,Lee San Choon,,male,chinese,,,,,Perikatan - MCA
2,P058,Perak,Tanjung Malim,Tuan,Lee Seck Fun,,male,chinese,,,,,Perikatan - MCA
2,,,Sabah,Tuan,Amadeus Mathew Leong,,male,,,,,,
2,,,Sarawak,Tuan,Ling Beng Siew,,male,chinese,,,,,
2,P036,Pulau Pinang,Tanjong,Dr.,Lim Chong Eu,,male,chinese,,,,,UDP
2,,,Singapore,Tuan,Lim Huan Boon,,male,chinese,,,,,
2,P037,Pulau Pinang,Dato Kramat,Tuan,Lim Kean Siew,,male,chinese,,,,,BS - Buruh
2,,,Singapore,Dato',Lim Kim San,,male,chinese,,,,,
2,P006,Kedah,Alor Setar,Tuan,Lim Pee Hung,,male,chinese,,,,,Perikatan - MCA
2,,,Sabah,Tuan,Peter Lo Su Yin,,male,chinese,,,,,
2,P008,Kedah,Kota Star Selatan,Dr.,Mahathir Bin Mohamad,,male,bumiputera,,,,,Perikatan - UMNO
2,P082,Negeri Sembilan,Port Dickson,Tuan,T. Mahima Singh,,male,indian,,,,,Perikatan - MIC
2,,,Sabah,Tuan,Joe Manjaji,,male,bumiputera,,,,,
2,P047,Perak,Kuala Kangsar,Dr. Haji,Megat Khas,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sabah,Tuan,Mohd. Arif Salleh,,male,bumiputera,,,,,
2,P022,Kelantan,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,,PAS
2,,,Sabah,Orang Tua,Mohammad Dara Bin Langpad,,male,bumiputera,,,,,
2,P025,Terengganu,Besut,Tuan,Mohd. Daud Bin Abdul Samad,,male,bumiputera,,,,,PAS
2,P083,Negeri Sembilan,Jelebu,Tuan,Mohamed Idris Bin Matsil,,male,bumiputera,,,,,Perikatan - UMNO
2,P033,Pulau Pinang,Seberang Selatan,Tuan,Mohamed Noordin Bin Mastan,,male,bumiputera,,,,,Perikatan - UMNO
2,P075,Selangor,Kuala Langat,Tuan,Mohd. Tahir Bin Abdul Majid,,male,bumiputera,,,,,Perikatan - UMNO
2,P063,Pahang,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,,,,,Perikatan - UMNO
2,P012,Kedah,Sungai Patani,Tuan,Mohd. Zahir Bin Haji Ismail,,male,bumiputera,,,,,Perikatan - UMNO
2,P029,Terengganu,Kemaman,Tuan,Wan Mokhtar Bin Ahmad,,male,bumiputera,,,,,Perikatan - UMNO
2,P002,Perlis,Perlis Selatan,Tuan Haji,Mokhtar Bin Haji Ismail,,male,bumiputera,,,,,Perikatan - UMNO
2,P017,Kelantan,Pasir Mas Hilir,Tuan,Muhammad Fakhruddin Bin Haji Abdullah,,male,bumiputera,,,,,PAS
2,,,Sarawak,Tuan Haji,Muhammad Su'aut Bin Haji Muhd. Tahir,,male,bumiputera,,,,,
2,P077,Selangor,Sabak Bernam,Dato' Haji,Mustapha Bin Haji Abdul Jabar,,male,bumiputera,,,,,Perikatan - UMNO
2,P023,Kelantan,Tanah Merah,Tuan,Mustapha Bin Ahmad,,male,bumiputera,,,,,PAS
2,P018,Kelantan,Kota Bharu Hilir,Dato',Nik Ahmad Kamil,,male,bumiputera,,,,,Perikatan - UMNO
2,P052,Perak,Batu Gajah,Tuan,Ng Fah Yam,,male,chinese,,,,,Perikatan - MCA
2,P055,Perak,Telok Anson,Dr.,Ng Kam Poh,,male,chinese,,,,,Perikatan - MCA
2,,,Sarawak,Tuan,Ong Kee Hui,,male,chinese,,,,,
2,P054,Perak,Hilir Perak,Tuan Haji,Othman Bin Abdullah,,male,bumiputera,,,,,Perikatan - UMNO
2,P001,Perlis,Perlis Utara,Tuan,Othman Bin Abdullah,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sarawak,,Abang Othman Bin Haji Moasili,,male,bumiputera,,,,,
2,,,Singapore,Tuan,Ong Pang Boon,,male,chinese,,,,,
2,,,Singapore,Tuan,Othman Bin Wok,,male,bumiputera,,,,,
2,P080,Negeri Sembilan,Seremban Timur,Tuan,Quek Kai Dong,,male,chinese,,,,,Perikatan - MCA
2,P101,Johor,Johor Bharu Barat,Tuan Haji,Rahmat Bin Haji Daud,,male,bumiputera,,,,,Perikatan - UMNO
2,P041,Perak,Krian Darat,Tuan,Ramli Bin Omar,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Rembau,Tuan Haji,Redza Bin Haji Mohd. Said,,male,bumiputera,,,,,
2,P065,Selangor,Kuala Selangor,,Raja Rome Bin Raja Ma'amor,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Sarawak,Tuan,Sandom Anak Nyuak,,male,bumiputera,,,,,
2,P091,Johor,Muar Pantai,Tuan,Seah Teng Ngiab,,male,chinese,,,,,Perikatan - MCA
2,P050,Perak,Ipoh,Tuan,D. R. Seenivasagam,,male,indian,,,,,PPP
2,P051,Perak,Menglembu,Tuan,S. P. Seenivasagam,,male,indian,,,,,PPP
2,,,Sarawak,Tuan,Sim Boon Liang,,male,chinese,,,,,
2,P084,Negeri Sembilan,Seremban Barat,Tuan,Siow Loong Hin,,male,chinese,,,,,Perikatan - MCA
2,,,Sarawak,Tuan,Sng Chin Joo,,male,chinese,,,,,
2,P093,Johor,Batu Pahat,Tuan,Soh Ah Teck,,male,chinese,,,,,Perikatan - MCA
2,,,Sabah,Datu,Donald Aloysius Stephens,,male,,,,,,
2,P028,Terengganu,Dungun,Tuan,Suleiman Bin Ali,,male,bumiputera,,,,,Perikatan - UMNO
2,,,Singapore,Tuan,S. Rajaratham,,male,indian,,,,,
2,,,Sabah,,Pengiran Tahir Petra,,male,bumiputera,,,,,
2,P042,Perak,Larut Utara,Tuan,Tajudin Bin Ali,,male,bumiputera,,,,,Perikatan - UMNO
