author_id,name,birth_year,sex,ethnicity,start_date,end_date
21229,VELL PAARI A/L SAMY VELLU,1938.0,male,indian,2020-09-02,2023-09-01
21241,WAN MARTINA BINTI WAN YUSOFF,,female,bumiputera,2021-08-24,2024-08-23
21263,YAHAYA BIN MAT GHANI @ ABBAS,,male,bumiputera,2013-10-07,2016-10-06
21265,YONG WUI CHUNG,,male,chinese,2017-08-22,2020-08-21
21268,YUNUS BIN HAJI KURUS,,male,bumiputera,2011-05-30,2014-05-29
21272,ZAHARI BIN SARIP,,male,bumiputera,2017-05-15,2020-05-14
21277,ZAIEDI BIN HAJI SUHAILI,,male,bumiputera,2016-07-19,2019-07-18
21280,ZAITUN BINTI MAT AMIN,,female,bumiputera,2012-06-08,2015-06-07
21283,ZAMBRY BIN ABDUL KADIR,1962.0,male,bumiputera,2022-12-03,2025-12-02
21287,ZULKIFLI BIN HASAN,,male,bumiputera,2023-12-12,2026-12-11
21286,ZULKIFLI MOHAMAD AL-BAKRI,,male,bumiputera,2020-03-09,
21291,ZURAINAH BINTI MUSA,,female,bumiputera,2021-12-22,2024-12-21
3265,AARON AGO ANAK DAGANG,1959.0,male,bumiputera,2008-03-08,
3325,AB AZIZ BIN AB KADIR,1963.0,male,bumiputera,2008-03-08,2013-04-03
3856,AB. AZIZ BIN KAPRAWI,1960.0,male,bumiputera,2013-05-05,2018-04-07
3313,AB. HALIM BIN AB. RAHMAN,1940.0,male,bumiputera,2008-03-08,2013-04-03
3310,ABD AZIZ BIN SHEIKH FADZIR,1963.0,male,bumiputera,2013-05-05,2018-04-07
4423,ABD GHANI BIN AHMAD,1970.0,male,bumiputera,2022-11-19,
3467,ABD KHALID BIN IBRAHIM,1947.0,male,bumiputera,2008-03-08,2018-04-07
3533,ABD RAHIM BIN BAKRI,1961.0,male,bumiputera,2008-03-08,2022-10-10
1712,ABD. HADI BIN AWANG,1947.0,male,bumiputera,2008-03-08,
3512,ABD. LATIFF BIN AHMAD,1959.0,male,bumiputera,2008-03-08,2022-10-10
3421,ABD. RAHMAN BIN BAKRI,1966.0,male,bumiputera,2008-03-08,2013-04-03
3305,ABDUL AZEEZ BIN ABDUL RAHIM,1967.0,male,bumiputera,2013-05-05,2022-10-10
3238,ABDUL GHAPUR BIN SALLEH,1943.0,male,bumiputera,2008-03-08,2018-04-07
4756,ABDUL KHALIB BIN ABDULLAH,1959.0,male,bumiputera,2022-11-19,
4043,ABDUL LATIFF BIN ABDUL RAHMAN,1972.0,male,bumiputera,2018-05-09,
3411,ABDUL MANAN BIN ISMAIL,1949.0,male,bumiputera,2008-03-08,2013-04-03
3538,ABDUL RAHMAN BIN DAHLAN,1966.0,male,bumiputera,2008-03-08,2018-04-07
3752,ABDUL RAHMAN BIN MOHAMAD,1962.0,male,bumiputera,2013-05-05,
3613,ABDUL WAHAB BIN HAJI DOLAH,1951.0,male,bumiputera,2008-03-08,2018-04-07
2655,ABDULLAH BIN HAJI AHMAD BADAWI,1940.0,male,bumiputera,2008-03-08,2013-04-03
3336,ABDULLAH BIN MD ZIN,1947.0,male,bumiputera,2008-03-08,2013-04-03
3451,ABDULLAH SANI BIN ABDUL HAMID,1962.0,male,bumiputera,2008-03-08,2022-10-10
3844,ABU BAKAR BIN MOHAMAD DIAH,1959.0,male,bumiputera,2013-05-05,2018-04-07
3286,ABU BAKAR BIN TAIB,1943.0,male,bumiputera,2008-03-08,2013-04-03
3483,ABU SEMAN BIN HAJI YUSOP,1944.0,male,bumiputera,2008-03-08,2013-04-03
4949,ADAM ADLI BIN ABD HALIM,1989.0,male,bumiputera,2022-11-19,
4284,ADHAM BIN BABA,1963.0,male,bumiputera,2018-05-09,2022-10-10
4941,ADLY BIN ZAHARI,1971.0,male,bumiputera,2022-11-19,
4922,ADNAN BIN ABU HASSAN,1970.0,male,bumiputera,2022-11-19,
3468,ADNAN BIN TENGKU MANSOR,1951.0,male,bumiputera,2008-03-08,2022-10-10
4438,AFNAN HAMIMI BIN DATO' HAJI TAIB AZAMUDDEN,1981.0,male,bumiputera,2022-11-19,
4052,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970.0,male,bumiputera,2018-05-09,
3665,AHMAD BAIHAKI BIN ATIQULLAH,1974.0,male,bumiputera,2013-05-05,2018-04-07
3491,AHMAD BIN HAJI HAMZAH,1949.0,male,bumiputera,2008-03-08,2022-10-10
3527,AHMAD BIN HAJI MASLAN,1966.0,male,bumiputera,2008-03-08,
4322,AHMAD BIN HASSAN,1961.0,male,bumiputera,2018-05-09,2022-10-10
3295,AHMAD BIN KASIM,1964.0,male,bumiputera,2008-03-08,2013-04-03
4434,AHMAD BIN SAAD @ YAHAYA,1975.0,male,bumiputera,2022-11-19,
4027,AHMAD FADHLI BIN SHAARI,1981.0,male,bumiputera,2018-05-09,
4219,AHMAD FAHMI BIN MOHAMED FADZIL,1981.0,male,bumiputera,2018-05-09,
4104,AHMAD FAIZAL BIN AZUMU,1971.0,male,bumiputera,2018-05-09,2022-10-10
4447,AHMAD FAKHRUDDIN BIN FAKHRURAZI,1971.0,male,bumiputera,2022-11-19,
3815,AHMAD FAUZI BIN ZAHARI,1964.0,male,bumiputera,2013-05-05,2018-04-07
3380,AHMAD HUSNI BIN MOHAMAD HANADZLAH,1953.0,male,bumiputera,2008-03-08,2018-04-07
3673,AHMAD JAZLAN BIN YAAKUB,1965.0,male,bumiputera,2013-05-05,2022-10-10
4388,AHMAD JOHNIE BIN HAJI ZAWAWI,1962.0,male,bumiputera,2018-05-09,
3624,AHMAD LAI BIN BUJANG,1950.0,male,bumiputera,2008-03-08,2018-04-07
3667,AHMAD MARZUK BIN SHAARY,1976.0,male,bumiputera,2013-05-05,
3756,AHMAD NAZLAN BIN IDRIS,1958.0,male,bumiputera,2013-05-05,2022-10-10
4568,AHMAD SAMSURI BIN MOKHTAR,1971.0,male,bumiputera,2022-11-19,
2986,AHMAD SHABERY BIN CHEEK,1959.0,male,bumiputera,2008-03-08,2018-04-07
4008,AHMAD TARMIZI BIN SULAIMAN,1977.0,male,bumiputera,2018-05-09,
4856,AHMAD YUNUS BIN HAIRI,1965.0,male,bumiputera,2022-11-19,
2393,AHMAD ZAHID BIN HAMIDI,1953.0,male,bumiputera,2008-03-08,
4289,AKMAL NASRULLAH BIN MOHD NASIR,1986.0,male,bumiputera,2018-05-09,
2903,ALEXANDER NANTA LINGGI,1958.0,male,bumiputera,2008-03-08,
3958,ALI ANAK BIJU,1968.0,male,bumiputera,2018-05-09,
4549,ALIAS BIN RAZAK,1959.0,male,bumiputera,2022-11-19,
3967,ALICE LAU KIONG YIENG,1981.0,female,chinese,2013-05-05,
4986,AMINOLHUDA BIN HASSAN,1959.0,male,bumiputera,2022-11-19,
4933,AMINUDDIN BIN HARUN,1967.0,male,bumiputera,2022-11-19,
3992,AMIRUDDIN BIN HAJI HAMZAH,1962.0,male,bumiputera,2018-05-09,2022-10-10
