ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
12,Pulau Pinang,P.045 Bukit Mertajam,2,PARTI TINDAKAN DEMOKRATIK (DAP),37882,1,won,2661,CHONG ENG,1958,female,chinese
12,Pulau Pinang,P.046 Batu Kawan,1,PARTI TINDAKAN DEMOKRATIK (DAP),23067,1,won,3354,K. RAMAZAMY,1950,male,indian
12,Pulau Pinang,P.046 Batu Kawan,2,BARISAN NASIONAL (BN),13582,0,lost,1725,KOH TSU KOON,1950,male,chinese
12,Pulau Pinang,P.047 Nibong Tebal,1,PARTI KEADILAN RAKYAT (PKR),20210,1,won,3355,LAN TEE BENG,1972,male,chinese
12,Pulau Pinang,P.047 Nibong Tebal,2,BARISAN NASIONAL (BN),17123,0,lost,3356,HJ ZAINAL ABIDIN OSMAN,1961,male,bumiputera
12,Pulau Pinang,P.048 Bukit Bendera,1,BARISAN NASIONAL (BN),15131,0,lost,2355,CHIA KWANG CHYE,1953,male,chinese
12,Pulau Pinang,P.048 Bukit Bendera,2,PARTI TINDAKAN DEMOKRATIK (DAP),31243,1,won,3357,LIEW CHIN TONG,1977,male,chinese
12,Pulau Pinang,P.049 Tanjong,1,BARISAN NASIONAL (BN),9759,0,lost,3358,KHAW VEON SZU,1972,male,chinese
12,Pulau Pinang,P.049 Tanjong,2,PARTI TINDAKAN DEMOKRATIK (DAP),28248,1,won,2665,CHOW KON YEOW,1958,male,chinese
12,Pulau Pinang,P.050 Jelutong,1,BARISAN NASIONAL (BN),14247,0,lost,3359,DR. THOR TEONG GEE,1971,male,chinese
12,Pulau Pinang,P.050 Jelutong,2,BEBAS (BEBAS),882,0,lost_deposit,3360,BADRUL ZAMAN,1952,male,bumiputera
12,Pulau Pinang,P.050 Jelutong,3,PARTI TINDAKAN DEMOKRATIK (DAP),30493,1,won,3361,OOI CHUAN AUN,1956,male,chinese
12,Pulau Pinang,P.051 Bukit Gelugor,1,BARISAN NASIONAL (BN),14125,0,lost,3362,KOAY KAR HUAH,1948,male,chinese
12,Pulau Pinang,P.051 Bukit Gelugor,2,PARTI TINDAKAN DEMOKRATIK (DAP),35140,1,won,848,KARPAL SINGH A/L RAM SINGH,1941,male,other
12,Pulau Pinang,P.052 Bayan Baru,1,BARISAN NASIONAL (BN),16589,0,lost,3363,OOI SIEW KIM,1956,female,chinese
12,Pulau Pinang,P.052 Bayan Baru,2,PARTI KEADILAN RAKYAT (PKR),27618,1,won,3364,ZAHRAIN MOHAMED HASHIM,1956,male,bumiputera
12,Pulau Pinang,P.053 Balik Pulau,1,BARISAN NASIONAL (BN),15041,0,lost,3365,NORRAESAH MOHAMAD,1949,female,bumiputera
12,Pulau Pinang,P.053 Balik Pulau,2,PARTI KEADILAN RAKYAT (PKR),15749,1,won,3366,YUSMADI YUSOFF,1975,male,bumiputera
12,Perak,P.054 Gerik,1,BARISAN NASIONAL (BN),12526,1,won,3012,TAN LIAN HOE,1959,female,chinese
12,Perak,P.054 Gerik,2,PARTI ISLAM SE MALAYSIA (PAS),6953,0,lost,3367,MOHD NOOR,1965,male,bumiputera
12,Perak,P.055 Lenggong,1,PARTI ISLAM SE MALAYSIA (PAS),6073,0,lost,3368,IBRAHIM ZAKARIA,1970,male,bumiputera
12,Perak,P.055 Lenggong,2,BARISAN NASIONAL (BN),10992,1,won,3369,DR SHAMSUL ANUAR NASARAH,1967,male,bumiputera
12,Perak,P.056 Larut,1,PARTI ISLAM SE MALAYSIA (PAS),13967,0,lost,3370,MOHD DHARI BIN OTHMAN,1948,male,bumiputera
12,Perak,P.056 Larut,2,BARISAN NASIONAL (BN),15878,1,won,3371,HAMZAH ZAINUDIN,1957,male,bumiputera
12,Perak,P.057 Parit Buntar,1,PARTI ISLAM SE MALAYSIA (PAS),21221,1,won,2990,MUJAHID YUSOF RAWA,1965,male,bumiputera
12,Perak,P.057 Parit Buntar,2,BARISAN NASIONAL (BN),13670,0,lost,1436,ABDUL RAHIM BIN SULAIMAN,1950,male,bumiputera
12,Perak,P.058 Bagan Serai,1,PARTI KEADILAN RAKYAT (PKR),18943,1,won,3372,MOHSIN FADZLI BIN SAMSURI,1946,male,bumiputera
12,Perak,P.058 Bagan Serai,2,BARISAN NASIONAL (BN),15530,0,lost,3373,ZAINAL ABIDIN ZIN,1940,male,bumiputera
12,Perak,P.059 Bukit Gantang,1,PARTI ISLAM SE MALAYSIA (PAS),20015,1,won,2678,ROSLAN BIN SHAHARUM,1960,male,bumiputera
12,Perak,P.059 Bukit Gantang,2,BARISAN NASIONAL (BN),18449,0,lost,3374,ABDUL AZIM BIN MOHD ZABIDI,1960,male,bumiputera
12,Perak,P.059 Bukit Gantang,3,BEBAS (BEBAS),872,0,lost_deposit,3375,MOHGANAN A/L P MANIKAM,1963,male,indian
12,Perak,P.060 Taiping,1,PARTI TINDAKAN DEMOKRATIK (DAP),28098,1,won,3376,NGA KOR MING,1972,male,chinese
12,Perak,P.060 Taiping,2,BARISAN NASIONAL (BN),16800,0,lost,3377,M. KAYVEAS,1955,male,indian
12,Perak,P.061 Padang Rengas,1,PARTI KEADILAN RAKYAT (PKR),8081,0,lost,3378,ALIAS ZENON,1939,male,bumiputera
12,Perak,P.061 Padang Rengas,2,BARISAN NASIONAL (BN),9830,1,won,2368,MOHAMED NAZRI BIN TAN ABDUL AZIZ,1954,male,bumiputera
12,Perak,P.062 Sungai Siput,1,BEBAS (BEBAS),864,0,lost_deposit,3379,NOR RIZAN BIN OON,1960,male,bumiputera
12,Perak,P.062 Sungai Siput,2,BARISAN NASIONAL (BN),14637,0,lost,1172,SAMY VELLU A/L SANGALIMUTHU,1938,male,indian
12,Perak,P.062 Sungai Siput,2,BARISAN NASIONAL (BN),14637,0,lost,1172,SAMY VELLU A/L SANGALIMUTHU,1938,male,indian
12,Perak,P.062 Sungai Siput,3,PARTI KEADILAN RAKYAT (PKR),16458,1,won,3019,DR MICHAEL JEYAKUMAR DEVARAJ,1955,male,indian
12,Perak,P.063 Tambun,1,PARTI KEADILAN RAKYAT (PKR),22556,0,lost,193,MOHAMMAD ASRI,1948,male,bumiputera
12,Perak,P.063 Tambun,2,BARISAN NASIONAL (BN),27942,1,won,3380,AHMAD HUSNI HANADZLAH,1953,male,bumiputera
12,Perak,P.064 Ipoh Timor,1,PARTI TINDAKAN DEMOKRATIK (DAP),37364,1,won,698,LIM KIT SIANG,1941,male,chinese
12,Perak,P.064 Ipoh Timor,2,BARISAN NASIONAL (BN),15422,0,lost,3381,LIEW MUN HON,1977,male,chinese
12,Perak,P.065 Ipoh Barat,1,BARISAN NASIONAL (BN),17042,0,lost,3382,YIK PHOOI HONG,1950,male,chinese
12,Perak,P.065 Ipoh Barat,2,PARTI TINDAKAN DEMOKRATIK (DAP),32576,1,won,3383,M. KULA,1957,male,indian
12,Perak,P.066 Batu Gajah,1,BARISAN NASIONAL (BN),15295,0,lost,3384,CHEAH YOKE CAN,1968,male,chinese
12,Perak,P.066 Batu Gajah,2,PARTI TINDAKAN DEMOKRATIK (DAP),39922,1,won,2692,FONG PO KUAN,1974,female,chinese
12,Perak,P.067 Kuala Kangsar,1,BARISAN NASIONAL (BN),10735,1,won,1228,RAFIDAH AZIZ,1944,female,bumiputera
12,Perak,P.067 Kuala Kangsar,2,PARTI ISLAM SE MALAYSIA (PAS),9277,0,lost,3385,KHAIRUDDIN BIN ABDUL MALIK,1961,male,bumiputera
12,Perak,P.068 Beruas,1,BARISAN NASIONAL (BN),14003,0,lost,3386,CHANG KON YOU,1958,male,chinese
12,Perak,P.068 Beruas,2,PARTI TINDAKAN DEMOKRATIK (DAP),15831,1,won,2081,NGEH KHOO HAM,1962,male,chinese
12,Perak,P.069 Parit,1,PARTI ISLAM SE MALAYSIA (PAS),9526,0,lost,3387,NAJIHA AHMAD,1967,female,bumiputera
12,Perak,P.069 Parit,2,BARISAN NASIONAL (BN),12399,1,won,3388,NIZAR,1969,male,bumiputera
12,Perak,P.070 Kampar,1,PARTI TINDAKAN DEMOKRATIK (DAP),17429,0,lost,3389,KEONG MENG SING,1955,male,chinese
12,Perak,P.070 Kampar,2,BARISAN NASIONAL (BN),20126,1,won,3390,LEE CHEE KEONG,1957,male,chinese
12,Perak,P.071 Gopeng,1,PARTI KEADILAN RAKYAT (PKR),29696,1,won,3391,LEE BOON CHYE,1960,male,chinese
12,Perak,P.071 Gopeng,2,BARISAN NASIONAL (BN),22328,0,lost,3392,LING HEE LEONG,1970,male,chinese
12,Perak,P.072 Tapah,1,BARISAN NASIONAL (BN),14084,1,won,3393,M. SARAVANAN,1968,male,indian
12,Perak,P.072 Tapah,2,PARTI KEADILAN RAKYAT (PKR),11064,0,lost,3394,S. T. TAN,1969,male,chinese
12,Perak,P.073 Pasir Salak,1,PARTI KEADILAN RAKYAT (PKR),14240,0,lost,3037,MUSTAFFA KAMIL BIN AYUB,1963,male,bumiputera
12,Perak,P.073 Pasir Salak,2,BARISAN NASIONAL (BN),16928,1,won,3395,SHAHUDDIN BIN ABDUL RAHMAN,1948,male,bumiputera
12,Perak,P.074 Lumut,1,BARISAN NASIONAL (BN),25698,1,won,2706,KONG CHO HA,1951,male,chinese
12,Perak,P.074 Lumut,2,PARTI KEADILAN RAKYAT (PKR),25400,0,lost,3396,SUWARDI HJ SAPUAN,1946,male,bumiputera
