ge,state,parlimen,ballot_order,party,votes,result,result_desc,uid,name,birth_year,sex,ethnicity
15,Pahang,P.081 Jerantut,3,PERIKATAN NASIONAL (PN),31701,1,won,4719,IR. HAJI KHAIRIL,1979,male,bumiputera
15,Pahang,P.082 Indera Mahkota,1,PARTI PEJUANG TANAHAIR (PEJUANG),1864,0,lost_deposit,4720,DR. MOHAMAD NOR BIN SUNDARI,1964,male,bumiputera
15,Pahang,P.082 Indera Mahkota,2,PERIKATAN NASIONAL (PN),41692,1,won,4721,DATO' SRI SAIFUDDIN ABDULLAH,1961,male,bumiputera
15,Pahang,P.082 Indera Mahkota,3,PAKATAN HARAPAN (PH),33293,0,lost,4722,HAJI ZURAIDI ISMAIL,1966,male,bumiputera
15,Pahang,P.082 Indera Mahkota,4,BARISAN NASIONAL (BN),16530,0,lost,4723,DATO' QUEK TAI SEONG,1979,male,bumiputera
15,Pahang,P.083 Kuantan,1,BARISAN NASIONAL (BN),19114,0,lost,4724,DATO' SRI AB HAMID BIN MOHD NAZAHAR,1964,male,bumiputera
15,Pahang,P.083 Kuantan,2,PAKATAN HARAPAN (PH),22648,0,lost,2716,FUZIAH SALLEH,1959,female,bumiputera
15,Pahang,P.083 Kuantan,3,PERIKATAN NASIONAL (PN),25514,1,won,4725,WAN RAZALI WAN NOR,1981,male,bumiputera
15,Pahang,P.083 Kuantan,4,PARTI PEJUANG TANAHAIR (PEJUANG),486,0,lost_deposit,4726,MEJAR ANUAR TAJUDDIN (B),1972,male,bumiputera
15,Pahang,P.084 Paya Besar,1,PERIKATAN NASIONAL (PN),25582,0,lost,4727,USTAZ AIRE ROSLAN,1982,male,bumiputera
15,Pahang,P.084 Paya Besar,2,PARTI PEJUANG TANAHAIR (PEJUANG),310,0,lost_deposit,4728,IR. ROSMINAHAR,1960,male,bumiputera
15,Pahang,P.084 Paya Besar,3,PAKATAN HARAPAN (PH),9192,0,lost,4729,AHMAD AZZAM,1960,male,bumiputera
15,Pahang,P.084 Paya Besar,4,BARISAN NASIONAL (BN),26899,1,won,4730,DATO' INDERA MOHD SHAHAR BIN ABDULLAH,1980,male,bumiputera
15,Pahang,P.085 Pekan,1,BARISAN NASIONAL (BN),47418,1,won,4731,SH. MOHMED PUZI BIN SH. ALI,1957,male,bumiputera
15,Pahang,P.085 Pekan,2,PAKATAN HARAPAN (PH),6316,0,lost_deposit,4732,MOHD NAIM ZAINAL ABIDIN,1966,male,bumiputera
15,Pahang,P.085 Pekan,3,BEBAS (BEBAS),366,0,lost_deposit,4733,TENGKU DATO' HISHAM,1956,male,bumiputera
15,Pahang,P.085 Pekan,4,PARTI PEJUANG TANAHAIR (PEJUANG),472,0,lost_deposit,4734,DATO' RADHI ABDUL RAZAK,1962,male,bumiputera
15,Pahang,P.085 Pekan,5,PERIKATAN NASIONAL (PN),38469,0,lost,4735,USTAZ MOHD FADHIL NOOR,1979,male,bumiputera
15,Pahang,P.086 Maran,1,BEBAS (BEBAS),166,0,lost_deposit,4736,MUHAMAD HAFIZ AL-HAFIZ,1988,male,bumiputera
15,Pahang,P.086 Maran,2,BARISAN NASIONAL (BN),17779,0,lost,4737,SHAHANIZA BT SHAMSUDDIN,1970,female,bumiputera
15,Pahang,P.086 Maran,3,PERIKATAN NASIONAL (PN),19600,1,won,4738,DATO SRI DR HJ ISMAIL B HJ ABD MUTTALIB,1954,male,bumiputera
15,Pahang,P.086 Maran,4,PAKATAN HARAPAN (PH),3547,0,lost_deposit,4739,AHMAD SHUHOR,1964,male,bumiputera
15,Pahang,P.087 Kuala Krau,1,BARISAN NASIONAL (BN),21481,0,lost,4740,DATO' SRI DR HAJI ISMAIL BIN MOHAMED SAID,1965,male,bumiputera
15,Pahang,P.087 Kuala Krau,2,PERIKATAN NASIONAL (PN),22505,1,won,4741,USTAZ HAJI KAMAL BIN ASHAARI,1970,male,bumiputera
15,Pahang,P.087 Kuala Krau,3,PAKATAN HARAPAN (PH),3593,0,lost_deposit,4742,JUHARI OSMAN,1966,male,bumiputera
15,Pahang,P.087 Kuala Krau,4,PARTI PEJUANG TANAHAIR (PEJUANG),174,0,lost_deposit,4743,SHAHRUDDIN MOHAMED SALLEH,1961,male,bumiputera
15,Pahang,P.088 Temerloh,1,BARISAN NASIONAL (BN),25191,0,lost,4744,DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,1962,male,bumiputera
15,Pahang,P.088 Temerloh,2,PERIKATAN NASIONAL (PN),30929,1,won,4745,HJH SALAMIAH MOHD NOR,1964,female,bumiputera
15,Pahang,P.088 Temerloh,3,PAKATAN HARAPAN (PH),25409,0,lost,4746,HASBIE MUDA,1987,male,bumiputera
15,Pahang,P.088 Temerloh,4,PARTI PEJUANG TANAHAIR (PEJUANG),1108,0,lost_deposit,4747,AMINUDDIN BIN YAHAYA,1963,male,bumiputera
15,Pahang,P.089 Bentong,1,BEBAS (BEBAS),168,0,lost_deposit,4748,ACHIK KHALIL,1964,male,bumiputera
15,Pahang,P.089 Bentong,2,PAKATAN HARAPAN (PH),25075,1,won,4749,YOUNG SYEFURA BINTI OTHMAN,1989,female,bumiputera
15,Pahang,P.089 Bentong,3,BARISAN NASIONAL (BN),24383,0,lost,4750,TAN SRI LIOW TIONG LAI,1961,male,chinese
15,Pahang,P.089 Bentong,4,PERIKATAN NASIONAL (PN),16233,0,lost,4751,DATUK ROSLAN HASSAN,-1,male,bumiputera
15,Pahang,P.089 Bentong,5,BEBAS (BEBAS),798,0,lost_deposit,3763,WONG TACK,1959,male,chinese
15,Pahang,P.090 Bera,1,PERIKATAN NASIONAL (PN),12719,0,lost,4752,DATO ASMAWI,1977,male,bumiputera
15,Pahang,P.090 Bera,2,BARISAN NASIONAL (BN),31762,1,won,3061,ISMAIL SABRI BIN YAAKOB,1960,male,bumiputera
15,Pahang,P.090 Bera,3,PAKATAN HARAPAN (PH),15067,0,lost,4753,HAJI ABAS BIN AWANG,1951,male,bumiputera
15,Pahang,P.091 Rompin,1,BEBAS (BEBAS),408,0,lost_deposit,4754,HAMIZI BIN HUSSAIN,1966,male,bumiputera
15,Pahang,P.091 Rompin,2,BARISAN NASIONAL (BN),30151,0,lost,4755,DATO' SRI HAJI HASAN BIN ARIFIN,1953,male,bumiputera
15,Pahang,P.091 Rompin,3,PERIKATAN NASIONAL (PN),31589,1,won,4756,DATO' KHALIB,1959,male,bumiputera
15,Pahang,P.091 Rompin,4,PAKATAN HARAPAN (PH),4779,0,lost_deposit,4757,ERMAN SHAH,1979,male,bumiputera
15,Selangor,P.092 Sabak Bernam,1,PARTI PEJUANG TANAHAIR (PEJUANG),460,0,lost_deposit,4758,DATO' SRI EIZLAN YUSOF,1971,male,bumiputera
15,Selangor,P.092 Sabak Bernam,2,BARISAN NASIONAL (BN),12917,0,lost,1713,ABDUL RAHMAN BIN BAKAR,1965,male,bumiputera
15,Selangor,P.092 Sabak Bernam,3,PERIKATAN NASIONAL (PN),17973,1,won,4759,CIKGU KALAM BIN SALAN,1965,male,bumiputera
15,Selangor,P.092 Sabak Bernam,4,PAKATAN HARAPAN (PH),9627,0,lost,4760,HJ. SHAMSUL MA'ARIF ISMAIL,1964,male,bumiputera
15,Selangor,P.093 Sungai Besar,1,BARISAN NASIONAL (BN),13984,0,lost,4761,DATO' SRI JAMAL YUNOS,1970,male,bumiputera
15,Selangor,P.093 Sungai Besar,2,PARTI PEJUANG TANAHAIR (PEJUANG),225,0,lost_deposit,4762,DATO' ASMAWAR BIN SAMAT,1955,male,bumiputera
15,Selangor,P.093 Sungai Besar,3,PERIKATAN NASIONAL (PN),19791,1,won,4763,CIKGU MUSLIMIN YAHAYA,1967,male,bumiputera
15,Selangor,P.093 Sungai Besar,4,PAKATAN HARAPAN (PH),17070,0,lost,4764,HJ SAIPOLYAZAN M YUSOP,1970,male,bumiputera
15,Selangor,P.094 Hulu Selangor,1,BEBAS (BEBAS),446,0,lost_deposit,4765,AZLINDA BINTI BARONI,1964,female,bumiputera
15,Selangor,P.094 Hulu Selangor,2,BARISAN NASIONAL (BN),27050,0,lost,4766,DATUK T.MOHAN,1973,male,indian
15,Selangor,P.094 Hulu Selangor,3,PARTI PEJUANG TANAHAIR (PEJUANG),1849,0,lost_deposit,4767,HARUMAINI BIN HAJI OMAR,1958,male,bumiputera
15,Selangor,P.094 Hulu Selangor,4,PAKATAN HARAPAN (PH),45261,0,lost,4768,DR. SATHIA PRAKASH NADARAJAN,1977,male,indian
15,Selangor,P.094 Hulu Selangor,5,PARTI BANGSA MALAYSIA (PBM),1013,0,lost_deposit,4769,HANIZA TALHA,1962,female,bumiputera
15,Selangor,P.094 Hulu Selangor,6,PERIKATAN NASIONAL (PN),46823,1,won,4770,HASNIZAN HARUN,1970,male,bumiputera
15,Selangor,P.095 Tanjong Karang,1,PARTI PEJUANG TANAHAIR (PEJUANG),3557,0,lost_deposit,4771,LANDO BROTHERHOOD,1975,male,bumiputera
15,Selangor,P.095 Tanjong Karang,2,BEBAS (BEBAS),1406,0,lost_deposit,4772,MOHD ROSNI,1963,male,bumiputera
15,Selangor,P.095 Tanjong Karang,3,PERIKATAN NASIONAL (PN),18054,1,won,4773,KAPT (B) DATO DR ZULKAFPERI,1959,male,bumiputera
15,Selangor,P.095 Tanjong Karang,4,IKATAN DEMOKRATIK MALAYSIA (MUDA),12314,0,lost,4774,CIKGU RAHAYU,1984,female,bumiputera
15,Selangor,P.095 Tanjong Karang,5,BARISAN NASIONAL (BN),15874,0,lost,4775,DATO' HJH. HABIBAH,1970,female,bumiputera
15,Selangor,P.096 Kuala Selangor,1,BARISAN NASIONAL (BN),30031,0,lost,4776,TENGKU ZAFRUL AZIZ,1973,male,bumiputera
15,Selangor,P.096 Kuala Selangor,2,PARTI PEJUANG TANAHAIR (PEJUANG),1778,0,lost_deposit,4777,YB SHAID ROSLI,1982,male,bumiputera
15,Selangor,P.096 Kuala Selangor,3,PAKATAN HARAPAN (PH),31033,1,won,4778,DS DR DZULKEFLY BIN AHMAD,1956,male,bumiputera
15,Selangor,P.096 Kuala Selangor,4,PERIKATAN NASIONAL (PN),23639,0,lost,4779,USTAZ MOHD NOOR SHAHAR,1976,male,bumiputera
15,Selangor,P.097 Selayang,1,PERIKATAN NASIONAL (PN),49154,0,lost,4780,DATUK ABDUL RASHID ASARI,1951,male,bumiputera
15,Selangor,P.097 Selayang,2,BARISAN NASIONAL (BN),19425,0,lost,4781,CHAN WUN HOONG,1979,male,chinese
15,Selangor,P.097 Selayang,3,PARTI PEJUANG TANAHAIR (PEJUANG),2584,0,lost_deposit,4782,SALLEH AMIRUDDIN,1963,male,bumiputera
15,Selangor,P.097 Selayang,4,BEBAS (BEBAS),945,0,lost_deposit,4783,MUHAMMAD ZAKI BIN OMAR,-1,male,bumiputera
15,Selangor,P.097 Selayang,5,PAKATAN HARAPAN (PH),72773,1,won,3427,WILLIAM LEONG JEE KEEN,1957,male,chinese
15,Selangor,P.098 Gombak,1,PERIKATAN NASIONAL (PN),59538,0,lost,4784,DATO' SERI AZMIN ALI,1964,male,bumiputera
15,Selangor,P.098 Gombak,2,PAKATAN HARAPAN (PH),72267,1,won,4785,AMIRUDIN SHARI,1980,male,bumiputera
15,Selangor,P.098 Gombak,3,PARTI PEJUANG TANAHAIR (PEJUANG),2223,0,lost_deposit,4786,DATUK DR. AZIZ JAMALUDIN,1954,male,bumiputera
15,Selangor,P.098 Gombak,4,BEBAS (BEBAS),675,0,lost_deposit,4787,IR HJ ZULKIFLI,-1,male,bumiputera
15,Selangor,P.098 Gombak,5,BARISAN NASIONAL (BN),30723,0,lost,4788,MEGAT ZULKARNAIN BIN OMARDIN,1969,male,bumiputera
15,Selangor,P.099 Ampang,1,PAKATAN HARAPAN (PH),56754,1,won,4789,RODZIAH ISMAIL,1964,female,bumiputera
15,Selangor,P.099 Ampang,2,BARISAN NASIONAL (BN),11509,0,lost_deposit,4790,IVONE LOW YI WEN,1993,female,chinese
15,Selangor,P.099 Ampang,3,BEBAS (BEBAS),148,0,lost_deposit,4791,M.RAVEEN,1984,male,indian
15,Selangor,P.099 Ampang,4,PARTI BANGSA MALAYSIA (PBM),4589,0,lost_deposit,4792,ZURAIDA BINTI KAMARUDDIN,1958,female,bumiputera
15,Selangor,P.099 Ampang,5,PARTI PEJUANG TANAHAIR (PEJUANG),2653,0,lost_deposit,4793,DR. NURUL ASHIKIN,1989,female,bumiputera
15,Selangor,P.099 Ampang,6,PARTI WARISAN SABAH (WARISAN),1423,0,lost_deposit,4794,BRYAN LAI,1974,male,chinese
15,Selangor,P.099 Ampang,7,PERIKATAN NASIONAL (PN),27073,0,lost,4795,SASHA LYNA,1983,female,bumiputera
15,Selangor,P.099 Ampang,8,BEBAS (BEBAS),188,0,lost_deposit,4796,MUHAMMAD SHAFIQ IZWAN BIN MOHD YUNOS,1989,male,bumiputera
15,Selangor,P.099 Ampang,9,BEBAS (BEBAS),93,0,lost_deposit,4170,TAN HUA MENG,1958,male,chinese
15,Selangor,P.100 Pandan,1,PAKATAN HARAPAN (PH),74002,1,won,3779,RAFIZI RAMLI,1977,male,bumiputera
15,Selangor,P.100 Pandan,2,PARTI WARISAN SABAH (WARISAN),3323,0,lost_deposit,2119,ONG TEE KEAT,1956,male,chinese
15,Selangor,P.100 Pandan,3,PERIKATAN NASIONAL (PN),25706,0,lost,4797,FARIQUE ZUBIR,1987,male,bumiputera
15,Selangor,P.100 Pandan,4,PARTI PEJUANG TANAHAIR (PEJUANG),961,0,lost_deposit,4798,NADIA HANAFIAH,1969,female,bumiputera
15,Selangor,P.100 Pandan,5,BARISAN NASIONAL (BN),11664,0,lost_deposit,4174,LEONG KOK WEE,1968,male,chinese
15,Selangor,P.101 Hulu Langat,1,PAKATAN HARAPAN (PH),58382,1,won,4799,YB MOHD SANY HAMZAN,1977,male,bumiputera
15,Selangor,P.101 Hulu Langat,2,PARTI PEJUANG TANAHAIR (PEJUANG),1655,0,lost_deposit,4800,DATO HAJI MARKIMAN KOBIRAN,1957,male,bumiputera
15,Selangor,P.101 Hulu Langat,3,PARTI WARISAN SABAH (WARISAN),370,0,lost_deposit,4801,DATO' ABDUL RAHMAN BIN JAAFAR,-1,male,bumiputera
15,Selangor,P.101 Hulu Langat,4,BARISAN NASIONAL (BN),32570,0,lost,4802,DATUK WIRA HAJI JOHAN BIN ABD AZIZ,1966,male,bumiputera
15,Selangor,P.101 Hulu Langat,5,BEBAS (BEBAS),326,0,lost_deposit,4803,DR MOHAMED MUSTAFA,1962,male,bumiputera
15,Selangor,P.101 Hulu Langat,6,PERIKATAN NASIONAL (PN),43486,0,lost,4804,DATO' DR. MOHD RADZI ABD LATIF,1954,male,bumiputera
15,Selangor,P.102 Bangi,1,PERIKATAN NASIONAL (PN),71867,0,lost,4805,NAZRUL NAZIR,1995,male,bumiputera
15,Selangor,P.102 Bangi,2,BEBAS (BEBAS),676,0,lost_deposit,4806,DR. JAMAL,1957,male,bumiputera
15,Selangor,P.102 Bangi,3,BARISAN NASIONAL (BN),25685,0,lost_deposit,3435,HOH HEE LEE,1960,male,chinese
15,Selangor,P.102 Bangi,4,BEBAS (BEBAS),401,0,lost_deposit,4807,FAUZI HASIM,1986,male,bumiputera
15,Selangor,P.102 Bangi,5,BEBAS (BEBAS),194,0,lost_deposit,4808,ASSOCIATE PROF. SUTHAN M,1986,male,indian
15,Selangor,P.102 Bangi,6,PARTI RAKYAT MALAYSIA (PRM),752,0,lost_deposit,4809,CHEE CHEE MENG,1964,male,chinese
15,Selangor,P.102 Bangi,7,PAKATAN HARAPAN (PH),141568,1,won,4810,SYAHREDZAN BIN JOHAN,1983,male,bumiputera
15,Selangor,P.102 Bangi,8,PARTI PEJUANG TANAHAIR (PEJUANG),3148,0,lost_deposit,4811,USTAZ ANNUAR BIN SALLEH,-1,male,bumiputera
15,Selangor,P.103 Puchong,1,PAKATAN HARAPAN (PH),79425,1,won,4263,YEO BEE YIN,1983,female,chinese
15,Selangor,P.103 Puchong,2,BEBAS (BEBAS),1793,0,lost_deposit,4812,UNCLE KENTANG,1963,male,chinese
15,Selangor,P.103 Puchong,3,BARISAN NASIONAL (BN),21468,0,lost,4813,DATUK SERI HAJI SYED IBRAHIM,1954,male,bumiputera
15,Selangor,P.103 Puchong,4,PERIKATAN NASIONAL (PN),18263,0,lost,4814,JIMMY CHEW JYH GANG,1969,male,chinese
15,Selangor,P.104 Subang,1,PERIKATAN NASIONAL (PN),23185,0,lost,4815,ALEX ANG H N,1976,male,chinese
15,Selangor,P.104 Subang,2,BARISAN NASIONAL (BN),16539,0,lost_deposit,4816,DR KOW,1966,male,chinese
15,Selangor,P.104 Subang,3,PAKATAN HARAPAN (PH),138259,1,won,3786,WONG CHEN,1969,male,chinese
15,Selangor,P.105 Petaling Jaya,1,PARTI RAKYAT MALAYSIA (PRM),2049,0,lost_deposit,4817,DATUK EZAM MOHD NOR,1967,male,bumiputera
15,Selangor,P.105 Petaling Jaya,2,BEBAS (BEBAS),461,0,lost_deposit,4818,DR. K. J. JOHN,1950,male,indian
15,Selangor,P.105 Petaling Jaya,3,BARISAN NASIONAL (BN),23253,0,lost,4187,CHEW HIAN TAT,1974,male,chinese
15,Selangor,P.105 Petaling Jaya,4,PARTI PEJUANG TANAHAIR (PEJUANG),4052,0,lost_deposit,4819,MAZWEEN MOKHTAR,1978,female,bumiputera
15,Selangor,P.105 Petaling Jaya,5,PERIKATAN NASIONAL (PN),32736,0,lost,4820,DATO THENG BOOK,1960,male,chinese
15,Selangor,P.105 Petaling Jaya,6,PAKATAN HARAPAN (PH),83311,1,won,4821,LEE CHEAN CHUNG,1981,male,chinese
15,Selangor,P.106 Damansara,1,PAKATAN HARAPAN (PH),142875,1,won,3436,GOBIND SINGH DEO,1973,male,other
15,Selangor,P.106 Damansara,2,PERIKATAN NASIONAL (PN),18256,0,lost_deposit,2500,LIM SI CHING,1992,male,chinese
15,Selangor,P.106 Damansara,3,BARISAN NASIONAL (BN),13806,0,lost_deposit,4822,TAN GIM TUAN GT,1970,male,chinese
15,Selangor,P.107 Sungai Buloh,1,PARTI RAKYAT MALAYSIA (PRM),279,0,lost_deposit,4823,AHMAD JUFLIZ,-1,male,bumiputera
15,Selangor,P.107 Sungai Buloh,2,PARTI PEJUANG TANAHAIR (PEJUANG),829,0,lost_deposit,4824,AKMAL YUSOFF,1983,male,bumiputera
15,Selangor,P.107 Sungai Buloh,3,BEBAS (BEBAS),113,0,lost_deposit,4825,SIFU LINDA,1989,female,bumiputera
15,Selangor,P.107 Sungai Buloh,4,BARISAN NASIONAL (BN),48250,0,lost,3478,KHAIRY JAMALUDDIN ABU BAKAR,1976,male,bumiputera
15,Selangor,P.107 Sungai Buloh,5,BEBAS (BEBAS),165,0,lost_deposit,4826,SYED RAZAK ALSAGOFF,1960,male,bumiputera
15,Selangor,P.107 Sungai Buloh,6,PAKATAN HARAPAN (PH),50943,1,won,4827,RAMANAN RAMAKRISHNAN,1981,male,indian
15,Selangor,P.107 Sungai Buloh,7,PERIKATAN NASIONAL (PN),29060,0,lost,4828,HJ MOHD GHAZALI BIN MD HAMIN,1963,male,bumiputera
15,Selangor,P.108 Shah Alam,1,PAKATAN HARAPAN (PH),61409,1,won,4829,AZLI YUSOF,1967,male,bumiputera
15,Selangor,P.108 Shah Alam,2,PARTI PEJUANG TANAHAIR (PEJUANG),2781,0,lost_deposit,4830,RAFIQUE RASHID,1977,male,bumiputera
15,Selangor,P.108 Shah Alam,3,BARISAN NASIONAL (BN),28266,0,lost,4831,ISHAM JALIL,1976,male,bumiputera
15,Selangor,P.108 Shah Alam,4,PERIKATAN NASIONAL (PN),43314,0,lost,4832,DR. AFIF BAHARDIN,1985,male,bumiputera
15,Selangor,P.109 Kapar,1,BARISAN NASIONAL (BN),35079,0,lost,4833,MUHAMMAD BIN NOOR AZMAN,1992,male,bumiputera
15,Selangor,P.109 Kapar,2,PARTI BANGSA MALAYSIA (PBM),1474,0,lost_deposit,4834,DR DAROYAH BINTI ALWI,1962,female,bumiputera
15,Selangor,P.109 Kapar,3,PARTI PEJUANG TANAHAIR (PEJUANG),1015,0,lost_deposit,4835,UST. HJ. MOHD PATHAN BIN HUSSIN,1968,male,bumiputera
15,Selangor,P.109 Kapar,4,PERIKATAN NASIONAL (PN),65751,1,won,4836,DR HALIMAH ALI,1960,female,bumiputera
15,Selangor,P.109 Kapar,5,PARTI WARISAN SABAH (WARISAN),265,0,lost_deposit,4837,DATO' SERI RAHIM,-1,male,bumiputera
15,Selangor,P.109 Kapar,6,BEBAS (BEBAS),477,0,lost_deposit,4838,DATO' SRI SIVALINGAM,1975,male,indian
15,Selangor,P.109 Kapar,7,PAKATAN HARAPAN (PH),53969,0,lost,3451,ABDULLAH SANI,1962,male,bumiputera
15,Selangor,P.110 Klang,1,PERIKATAN NASIONAL (PN),23738,0,lost,4839,DR JAYA,1975,male,indian
15,Selangor,P.110 Klang,2,BEBAS (BEBAS),3016,0,lost_deposit,4840,HEDRHIN RAMLI @ AWIN,1979,male,bumiputera
15,Selangor,P.110 Klang,3,BARISAN NASIONAL (BN),19762,0,lost_deposit,4841,TEE HOOI LING,1975,female,chinese
15,Selangor,P.110 Klang,4,PARTI WARISAN SABAH (WARISAN),1140,0,lost_deposit,4842,DR. LOO CHENG WEE,1963,male,chinese
15,Selangor,P.110 Klang,5,PARTI RAKYAT MALAYSIA (PRM),271,0,lost_deposit,4843,CHANDRASEGAR,1984,male,indian
15,Selangor,P.110 Klang,6,PAKATAN HARAPAN (PH),115539,1,won,4844,GANABATIRAU A/L VERAMAN,1973,male,bumiputera
15,Selangor,P.110 Klang,7,BEBAS (BEBAS),439,0,lost_deposit,4845,DEEPAK JAIKISHAN,1972,male,indian
15,Selangor,P.111 Kota Raja,1,PARTI PEJUANG TANAHAIR (PEJUANG),2063,0,lost_deposit,4846,FAHMI BAZLAN MUDA,1987,male,bumiputera
15,Selangor,P.111 Kota Raja,2,PERIKATAN NASIONAL (PN),49308,0,lost,4847,HAJI MOHAMED DIAH BAHARUN,1965,male,bumiputera
15,Selangor,P.111 Kota Raja,3,BEBAS (BEBAS),163,0,lost_deposit,4848,KUMAR KARANANEDI,1987,male,indian
15,Selangor,P.111 Kota Raja,4,BARISAN NASIONAL (BN),22225,0,lost_deposit,4849,KAJENDRAN,1982,male,indian
15,Selangor,P.111 Kota Raja,5,PAKATAN HARAPAN (PH),123306,1,won,4850,MOHD SABU,1954,male,bumiputera
15,Selangor,P.111 Kota Raja,6,BEBAS (BEBAS),209,0,lost_deposit,4851,P.RAVEENTHARAN A/L A.PERIASAMY,1963,male,indian
15,Selangor,P.111 Kota Raja,7,PARTI RAKYAT MALAYSIA (PRM),360,0,lost_deposit,4852,SARAH AFIQAH,1996,female,bumiputera
15,Selangor,P.111 Kota Raja,8,BEBAS (BEBAS),106,0,lost_deposit,4853,SURENDHAR SELVARAJU,1983,male,indian
15,Selangor,P.112 Kuala Langat,1,BEBAS (BEBAS),512,0,lost_deposit,4854,HAJAH ZANARIAH JUMHURI,1968,female,bumiputera
15,Selangor,P.112 Kuala Langat,2,BARISAN NASIONAL (BN),18685,0,lost,4195,MOHANA MUNIANDY,1976,female,indian
15,Selangor,P.112 Kuala Langat,3,PARTI PEJUANG TANAHAIR (PEJUANG),591,0,lost_deposit,4855,MOHD RIDZUAN ABDULLAH,-1,male,bumiputera
15,Selangor,P.112 Kuala Langat,4,PERIKATAN NASIONAL (PN),52867,1,won,4856,DR AHMAD YUNUS HJ HAIRI,1965,male,bumiputera
15,Selangor,P.112 Kuala Langat,5,PARTI RAKYAT MALAYSIA (PRM),171,0,lost_deposit,4857,GANESKUMAR,1982,male,indian
15,Selangor,P.112 Kuala Langat,6,PAKATAN HARAPAN (PH),51034,0,lost,3798,MANIVANAN GOWIN,1975,male,indian
15,Selangor,P.113 Sepang,1,BEBAS (BEBAS),319,0,lost_deposit,4858,SHAHRUL AMRI MAT SARI,1986,male,bumiputera
15,Selangor,P.113 Sepang,2,PARTI PEJUANG TANAHAIR (PEJUANG),2337,0,lost_deposit,4859,CHE ASMAH IBRAHIM,1963,female,bumiputera
15,Selangor,P.113 Sepang,3,PARTI UTAMA RAKYAT (PUR),264,0,lost_deposit,4860,DAUD LEONG,1965,male,chinese
15,Selangor,P.113 Sepang,4,PAKATAN HARAPAN (PH),56264,1,won,4861,AIMAN ATHIRAH,1972,female,bumiputera
15,Selangor,P.113 Sepang,5,BEBAS (BEBAS),194,0,lost_deposit,4862,M. MUNESWARAN,1975,male,indian
15,Selangor,P.113 Sepang,6,PERIKATAN NASIONAL (PN),47315,0,lost,4863,DATUK SERI RINA HARUN,1973,female,bumiputera
15,Selangor,P.113 Sepang,7,BARISAN NASIONAL (BN),31097,0,lost,4864,ANUAR BIN BASIRAN,1977,male,bumiputera
15,Selangor,P.113 Sepang,8,PARTI RAKYAT MALAYSIA (PRM),165,0,lost_deposit,4865,NAGESWARAN RAVI,1989,male,indian
15,W.P. Kuala Lumpur,P.114 Kepong,1,PERIKATAN NASIONAL (PN),2795,0,lost_deposit,4866,PHAANG JING FATT,1978,male,chinese
15,W.P. Kuala Lumpur,P.114 Kepong,2,PARTI WARISAN SABAH (WARISAN),528,0,lost_deposit,4867,SHAUN YOUNG,1987,male,chinese
15,W.P. Kuala Lumpur,P.114 Kepong,3,BARISAN NASIONAL (BN),3227,0,lost_deposit,4868,YAP ZHENG HOE,1992,male,chinese
15,W.P. Kuala Lumpur,P.114 Kepong,4,PAKATAN HARAPAN (PH),64308,1,won,3456,LIM LIP ENG,1972,male,chinese
15,W.P. Kuala Lumpur,P.114 Kepong,5,BEBAS (BEBAS),1461,0,lost_deposit,3807,YEE POH PING,1960,male,chinese
15,W.P. Kuala Lumpur,P.115 Batu,1,BEBAS (BEBAS),653,0,lost_deposit,4869,SITI KASIM,1963,female,bumiputera
15,W.P. Kuala Lumpur,P.115 Batu,2,BEBAS (BEBAS),4603,0,lost_deposit,2789,TIAN CHUA,1964,male,chinese
15,W.P. Kuala Lumpur,P.115 Batu,3,PAKATAN HARAPAN (PH),45716,1,won,4207,PRABAKARAN PARAMESWARAN,1996,male,indian
15,W.P. Kuala Lumpur,P.115 Batu,4,PARTI RAKYAT MALAYSIA (PRM),137,0,lost_deposit,4870,ZULKIFLI FATTAH,1985,male,bumiputera
15,W.P. Kuala Lumpur,P.115 Batu,5,BEBAS (BEBAS),112,0,lost_deposit,4871,TOO GAO LAN,1973,male,chinese
15,W.P. Kuala Lumpur,P.115 Batu,6,PARTI PEJUANG TANAHAIR (PEJUANG),849,0,lost_deposit,4872,WAN AZLIANA,1976,female,bumiputera
15,W.P. Kuala Lumpur,P.115 Batu,7,PERIKATAN NASIONAL (PN),23475,0,lost,4873,USTAZ AZHAR YAHYA,-1,male,bumiputera
15,W.P. Kuala Lumpur,P.115 Batu,8,PARTI WARISAN SABAH (WARISAN),575,0,lost_deposit,4874,NATHAN BATU,1968,male,indian
15,W.P. Kuala Lumpur,P.115 Batu,9,BARISAN NASIONAL (BN),10398,0,lost_deposit,3784,A. KOHILAN PILLAY,1967,male,indian
15,W.P. Kuala Lumpur,P.115 Batu,10,BEBAS (BEBAS),628,0,lost_deposit,4875,NUR FATHIAH SYAZWANA @ CLEO,1994,female,bumiputera
15,W.P. Kuala Lumpur,P.116 Wangsa Maju,1,PAKATAN HARAPAN (PH),46031,1,won,4876,ZAHIR HASSAN,1959,male,bumiputera
15,W.P. Kuala Lumpur,P.116 Wangsa Maju,2,PARTI WARISAN SABAH (WARISAN),576,0,lost_deposit,1804,WEE CHOO KEONG,1953,male,chinese
15,W.P. Kuala Lumpur,P.116 Wangsa Maju,3,BARISAN NASIONAL (BN),19595,0,lost,3813,SHAFEI ABDULLAH,1958,male,bumiputera
