kod_kawasan,kawasan,nama,parti,negeri,vol
P028,Dungun,Suleiman Ali,Perikatan (UMNO),Terengganu,2
P029,Kemaman,Wan Mokhtar Ahmad,Perikatan (UMNO),Terengganu,2
P030,Trengganu Tengah,Engku Muhsein Abdul Kadir,Perikatan (UMNO),Terengganu,2
P031,Bagan,Tan Cheng Bee,Perikatan (MCA),Pulau Pinang,2
P032,Seberang Tengah,Ibrahim Abdul Rahman,Perikatan (UMNO),Pulau Pinang,2
P033,Seberang Selatan,Snawi Ismail,Perikatan (UMNO),Pulau Pinang,2
P033,Seberang Selatan,Mohamed Noordin Mastan,Perikatan (UMNO),Pulau Pinang,2
P034,Penang Utara,Geh Chong Keat,Perikatan (MCA),Pulau Pinang,2
P035,Penang Selatan,Ismail Idris,Perikatan (UMNO),Pulau Pinang,2
P036,Tanjong,Lim Chong Eu,UDP,Pulau Pinang,2
P037,Dato' Kramat,Lim Kean Siew,BS (Buruh),Pulau Pinang,2
P038,Seberang Utara,Ahmad Saaid,Perikatan (UMNO),Pulau Pinang,2
P039,Ulu Perak,Mohamed Ghazali Jawi,Perikatan (UMNO),Perak,2
P040,Krian Laut,Sulaiman Taib,Perikatan (UMNO),Perak,2
P040,Krian Laut,Abdul Rauf Abdul Rahman,Perikatan (UMNO),Perak,2
P041,Krian Darat,Ramli Omar,Perikatan (UMNO),Perak,2
P042,Larut Utara,Tajudin Ali,Perikatan (UMNO),Perak,2
P043,Larut Selatan,Lim Swee Aun,Perikatan (MCA),Perak,2
P044,Bruas,Chew Biow Chuon,Perikatan (MCA),Perak,2
P044,Bruas,Yeoh Tat Beng,Perikatan (MCA),Perak,2
P045,Sitiawan,Kam Woon Wah,Perikatan (MCA),Perak,2
P046,Sungei Siput,V. T. Sambanthan,Perikatan (MIC),Perak,2
P047,Kuala Kangsar,Megat Khas Megat Omar,Perikatan (UMNO),Perak,2
P048,Parit,Hussein Mohd Noordin,Perikatan (UMNO),Perak,2
P049,Ulu Kinta,Chin Foon,Perikatan (MCA),Perak,2
