vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
2,,,Penang Utara,Tuan,Geh Chong Keat,,male,chinese,,,,
2,,,Kapar,Tuan,Hamzah Bin Alang,,male,bumiputera,,,,
2,,,Kulim Utara,Tuan,Hanafi Bin Mohd. Yunus,,male,bumiputera,,,,
2,,,Jerai,Tuan,Hanafiah Bin Hussain,,male,bumiputera,,,,
2,,,Baling,Tuan,Harun Bin Abdullah,,male,bumiputera,,,,
2,,,Tumpat,Tuan,Wan Hassan Bin Wan Daud,,male,bumiputera,,,,
2,,,Singapore,Tuan,Ho See Beng,,male,chinese,,,,
2,,,Sabah,Tuan,Stanley Ho Ngun Khiu,,male,,,,,
2,,,Raub,Tuan,Hussein Bin To' Muda Hassan,,male,bumiputera,,,,
2,,,Parit,Tuan,Hussein Bin Mohd. Noordin,,male,bumiputera,,,,
2,,,Ulu Kelantan,Tuan,Hussein Bin Sulaiman,,male,bumiputera,,,,
2,,,Kota Bharu Hulu,Tuan Haji,Hussain Rahimi Bin Haji Saman,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Ikhwan Zaini,,male,bumiputera,,,,
2,,,Seberang Tengah,Tuan,Ibrahim Bin Abdul Rahman,,male,bumiputera,,,,
2,,,Penang Selatan,Tuan,Ismail Bin Idris,,male,bumiputera,,,,
2,,,Johor Tenggara,Tuan,Syed Ja'afar Bin Hasan Albar,,male,bumiputera,,,,
2,,,Singapore,Tuan,Jek Yeun Thong,,male,chinese,,,,
2,,,Sarawak,Penghulu,Jinggut Anak Attan,,male,bumiputera,,,,
2,,,Sarawak,Tuan,Kadam Anak Kiai,,male,bumiputera,,,,
2,,,Sitiawan,Tuan,Kam Woon Wah,,male,chinese,,,,
2,,,Sarawak,Tuan,Khoo Peng Loong,,male,chinese,,,,
2,,,Sabah,Datu,Khoo Siak Chiew,,male,chinese,,,,
2,,,Singapore,Tuan,Kow Kee Seng,,male,chinese,,,,
2,,,Sarawak,Tuan,Edmund Langgu Anak Saga,,male,bumiputera,,,,
2,,,Singapore,Tuan,Lee Kuan Yew,,male,chinese,,,,
2,,,Segamat Selatan,Tuan,Lee San Choon,,male,chinese,,,,
2,,,Tanjung Malim,Tuan,Lee Seck Fun,,male,chinese,,,,
2,,,Sabah,Tuan,Amadeus Mathew Leong,,male,,,,,
2,,,Sarawak,Tuan,Ling Beng Siew,,male,chinese,,,,
2,,,Tanjong,Dr.,Lim Chong Eu,,male,chinese,,,,
2,,,Singapore,Tuan,Lim Huan Boon,,male,chinese,,,,
2,,,Dato Kramat,Tuan,Lim Kean Siew,,male,chinese,,,,
2,,,Singapore,Dato',Lim Kim San,,male,chinese,,,,
2,,,Alor Setar,Tuan,Lim Pee Hung,,male,chinese,,,,
2,,,Sabah,Tuan,Peter Lo Su Yin,,male,chinese,,,,
2,,,Kota Star Selatan,Dr.,Mahathir Bin Mohamad,,male,bumiputera,,,,
2,,,Port Dickson,Tuan,T. Mahima Singh,,male,indian,,,,
2,,,Sabah,Tuan,Joe Manjaji,,male,bumiputera,,,,
2,,,Kuala Kangsar,Dr. Haji,Megat Khas,,male,bumiputera,,,,
2,,,Sabah,Tuan,Mohd. Arif Salleh,,male,bumiputera,,,,
2,,,Pasir Puteh,Tuan,Mohamed Asri Bin Haji Muda,,male,bumiputera,,,,
2,,,Sabah,Orang Tua,Mohammad Dara Bin Langpad,,male,bumiputera,,,,
2,,,Besut,Tuan,Mohd. Daud Bin Abdul Samad,,male,bumiputera,,,,
2,,,Jelebu,Tuan,Mohamed Idris Bin Matsil,,male,bumiputera,,,,
2,,,Seberang Selatan,Tuan,Mohamed Noordin Bin Mastan,,male,bumiputera,,,,
2,,,Kuala Langat,Tuan,Mohd. Tahir Bin Abdul Majid,,male,bumiputera,,,,
2,,,Temerloh,Tuan,Mohamed Yusof Bin Mahmud,,male,bumiputera,,,,
