vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,spr_name
12.0,P066,Perak,Batu Gajah,Y.B. Puan,Fong Po Kuan,1974.0,female,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P066-BTGAJAH.jpg,FONG PO KUAN
12.0,P011,Kedah,Pendang,Y.B. Dato' Dr. Haji,Mohd Hayati bin Othman,1958.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P011-PENDANG.jpg,MOHD HAYATI OTHMAN
12.0,P020,Kelantan,Pengkalan Chepa,Y.B. Dato' Haji,Ab. Halim bin Ab. Rahman,1940.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P020-PKLNCHEPA.jpg,ABHALIM BIN ABRAHMAN
12.0,P024,Kelantan,Kubang Kerian,Y.B. Tuan,Salahuddin bin Haji Ayub,1962.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P024-KBGKERIAN.jpg,SALAHUDDIN AYUB
12.0,P049,Pulau Pinang,Tanjong,Y.B. Tuan,Chow Kon Yeow,1959.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P049-TANJONG.jpg,CHOW KON YEOW
12.0,P065,Perak,Ipoh Barat,Y.B. Tuan,M. Kulasegaran,1958.0,male,indian,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P065-IPOHBARAT.jpg,M. KULA
12.0,P186,Sabah,Sandakan,Y.B. Datuk,Liew Vui Keong,1960.0,male,chinese,BN - LDP,Timbalan Menteri di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P186-SANDAKAN.jpg,LIEW VUI KEONG
12.0,P195,Sarawak,Bandar Kuching,Y.B. Tuan,Chong Chieng Jen,1971.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P195-BDRKUCHING.jpg,CHONG CHIENG JEN
12.0,P028,Kelantan,Pasir Puteh,Y.B. Tuan,Muhammad bin Husain,1952.0,male,bumiputera,PAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P028-PSRPUTEH.jpg,MUHAMMAD HUSAIN
12.0,P073,Perak,Pasir Salak,Y.B. Dato' Haji,Tajuddin bin Abdul Rahman,1948.0,male,bumiputera,BN - UMNO,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/pasirsalak.jpg,TAJUDDIN ABDUL RAHMAN
12.0,P148,Johor,Ayer Hitam,Y.B. Datuk Ir. Dr.,Wee Ka Siong,1969.0,male,chinese,BN - MCA,Timbalan Menteri Pelajaran,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P148-AIRHITAM1.jpg,WEE KA SIONG
12.0,P052,Pulau Pinang,Bayan Baru,Y.B. Dato' Seri,Zahrain Mohamed Hashim,1956.0,male,bumiputera,BEBAS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P052-BYNBARU.jpg,ZAHRAIN MOHAMED HASHIM
12.0,P138,Melaka,Kota Melaka,Y.B. Tuan,Sim Tong Him,1949.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P138-KMELAKA.jpg,SIM TONG HIM
12.0,P216,Sarawak,Hulu Rajang,Y.B. Datuk,Billy Abit Joo,1950.0,male,bumiputera,BN - PRS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P216-HLRAJANG.jpg,BILLY ABIT JOO
12.0,P210,Sarawak,Kanowit,Y.B. Datuk,Aaron Ago Anak Dagang,1959.0,male,bumiputera,BN - PRS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P210-KANOWIT.jpg,AARON AGO ANAK DAGANG
12.0,P014,Kedah,Merbok,Y.B. Dato',Rashid bin Din,1947.0,male,bumiputera,PKR,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P014-MERBOK.jpg,RASHID DIN
12.0,P118,WP Kuala Lumpur,Setiawangsa,Y.B. Dato' Sri Haji,Zulhasnan bin Rafique,1955.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/SETIAWANGSA.JPG,ZULHASNAN BIN RAFIQUE
12.0,P220,Sarawak,Baram,Y.B. Dato',Jacob Dungau Sagan,1947.0,male,bumiputera,BN - SPDP,Timbalan Menteri Perdagangan Antarabangsa Dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P220-BARAM.jpg,JACOB DUNGAU SAGAN
12.0,P221,Sarawak,Limbang,Y.B. Tuan Haji,Hasbi bin Habibollah,1963.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P221-LIMBANG.jpg,HASBI BIN HABIBOLLAH
12.0,P222,Sarawak,Lawas,Y.B. Dato',Henry Sum Agong,1946.0,male,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P222-LAWAS.jpg,HENRY SUM AGONG
12.0,P206,Sarawak,Tanjong Manis,Y.B. Datuk Hajjah,Norah binti Abdul Rahman,1960.0,female,bumiputera,BN - PBB,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P206-TANJONGMANIS.jpg,NORAH TUN ABDUL RAHMAN
12.0,,Selangor,Hulu Selangor,Y.B. Tuan,Kamalanathan A/L Panchanathan,,,,BN - MIC,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/pkamalathan-w.jpg,
12.0,P212,Sarawak,Sibu,Y.B. Tuan,Wong Ho Leng,1943.0,male,chinese,DAP,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/Wong Ho Leng.jpg,ROBERT LAU HOI CHEW
12.0,P059,Perak,Bukit Gantang,Y.B. Dato' Seri Ir.,Mohammad Nizar bin Jamaluddin,1960.0,male,bumiputera,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P059-BKTGANTG-nizar.jpg,ROSLAN BIN SHAHARUM
12.0,P185,Sabah,Batu Sapi,Y.B. Datin,Linda Tsen Thau Lin,1957.0,male,chinese,BN - PBS,Tiada,,https://www.parlimen.gov.my/images/webuser/ahli/2010/Linda Tsen Thau Lin.jpg,EDMUND CHONG KET WAH
12.0,,0,,Tan Sri Datuk Seri Panglima Pandikar Amin Haji,Mulia,,,,,,YANG DIPERTUA DEWAN RAKYAT,https://www.parlimen.gov.my/images/webuser/ahli/2010/ydp.jpg,
12.0,,0,,Datuk,Roosme Hamzah,,,,,,Setiausaha Dewan Rakyat,https://www.parlimen.gov.my/images/webuser/ahli/2010/stu-dr.jpg,
12.0,P,Selangor,Titiwangsa,,Kosong,,,,PAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/seat_kosong_dummy.jpg,
13.0,P085,Pahang,Pekan,YAB Dato' Sri,Mohd. Najib bin Tun Haji Abdul Razak,1954.0,male,bumiputera,BN - UMNO,Perdana Menteri Malaysia/Menteri Kewangan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P085.jpg,MOHD NAJIB BIN TUN ABDUL RAZAK
13.0,P143,Johor,Pagoh,YB Tan Sri Dato' Haji,Muhyiddin bin Mohd. Yassin,1947.0,male,bumiputera,PPBM,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P143.jpg,MUHYIDDIN BIN MD YASIN
13.0,P078,Pahang,Cameron Highlands,YB Datuk Seri,Palanivel a/l K. Govindasamy,1949.0,male,indian,BN - MIC,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P078.jpg,G. PALANIVEL
13.0,P061,Perak,Padang Rengas,YB Dato' Seri,Mohamed Nazri Bin Abdul Aziz,1954.0,male,bumiputera,BN - UMNO,Menteri Pelancongan Dan Kebudayaan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P061.jpg,MOHAMED NAZRI BIN TAN ABDUL AZIZ
13.0,P090,Pahang,Bera,YB Dato' Sri,Ismail Sabri Bin Yaakob,1960.0,male,bumiputera,BN - UMNO,Menteri Kemajuan Luar Bandar dan Wilayah,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P090.jpg,ISMAIL SABRI YAAKOB
13.0,P063,Perak,Tambun,YB Dato' Seri Haji,Ahmad Husni bin Mohamad Hanadzlah,1953.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P063.jpg,AHMAD HUSNI HANADZLAH
13.0,P176,Sabah,Kimanis,YB Dato' Sri,Anifah bin Haji Aman,1954.0,male,bumiputera,BN - UMNO,Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P176.jpg,ANIFAH AMAN
13.0,P012,Kedah,Jerai,YB Mejar Jeneral Dato' Seri,Jamil Khir bin Baharom (B),1962.0,male,bumiputera,BN - UMNO,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P012.jpg,JAMIL KHIR BIN BAHAROM
13.0,P033,Terengganu,Besut,YB Dato' Seri Haji,Idris Bin Jusoh,1956.0,male,bumiputera,BN - UMNO,Menteri Pendidikan Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P033.jpg,IDRIS JUSOH
13.0,P003,Perlis,Arau,YB Dato' Seri Dr.,Shahidan Bin Kassim,1952.0,male,bumiputera,BN - UMNO,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P003.jpg,SHAHIDAN BIN KASSIM
13.0,P131,Negeri Sembilan,Rembau,YB Brig Jen,Khairy Jamaluddin,1976.0,male,bumiputera,BN - UMNO,Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P131.jpg,KHAIRY JAMALUDDIN ABU BAKAR
13.0,P175,Sabah,Papar,YB Datuk,Rosnah Binti Haji Abdul Rashid Shirlin,1973.0,female,bumiputera,BN - UMNO,Timbalan Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P175.jpg,ROSNAH HJ ABDUL RASHID SHIRLIN
13.0,P146,Johor,Muar,YB Datuk Seri,Razali bin Ibrahim,1971.0,male,bumiputera,BN - UMNO,Timbalan Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P146.jpg,RAZALI BIN IBRAHIM
13.0,P164,Johor,Pontian,YB Datuk Seri,Ahmad bin Haji Maslan,1966.0,male,bumiputera,BN - UMNO,Timbalan Menteri Perdagangan Antarabangsa dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P164.jpg,AHMAD MASLAN
13.0,P198,Sarawak,Mambong,YB Dato' Sri Dr.,James Dawos Mamit,1949.0,male,bumiputera,BN - PBB,"Timbalan Menteri Tenaga, Teknologi Hijau dan Air",,https://www.parlimen.gov.my/images/webuser/ahli/2013/P198.jpg,JAMES DAWOS ANAK MAMIT
13.0,P073,Perak,Pasir Salak,YB Dato' Sri Haji,Tajuddin bin Abdul Rahman,1948.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pertanian dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2013/pasirsalak-s.jpg,TAJUDDIN ABDUL RAHMAN
13.0,P144,Johor,Ledang,YB Datuk Ir. Dr. Haji,Hamim Bin Samuri,1959.0,male,bumiputera,BN - UMNO,Timbalan Menteri Sumber Asli dan Alam Sekitar,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P144.jpg,HAMIM SAMURI
13.0,P153,Johor,Sembrong,YB Dato' Seri,Hishammuddin bin Tun Hussein,1962.0,male,bumiputera,BN - UMNO,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P153.jpg,HISHAMMUDDIN TUN HUSSEIN
13.0,P200,Sarawak,Batang Sadong,YB Dato' Sri Hajah,Nancy Binti Shukri,1962.0,female,bumiputera,BN - PBB,Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/nancy.PNG,NANCY SHUKRI
13.0,P179,Sabah,Ranau,YB Datuk Dr.,Ewon Ebin,1955.0,male,bumiputera,BN - UPKO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P179.jpg,EWON EBIN
13.0,P193,Sarawak,Santubong,YB Dato Sri Dr.,Wan Junaidi bin Tuanku Jaafar,1946.0,male,bumiputera,BN - PBB,Menteri Sumber Asli dan Alam Sekitar,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P193.jpg,WAN JUNAIDI BIN TUANKU JAAFAR
