vol,name,birth_year,sex,ethnicity,parti,negeri,kawasan,kod_kawasan,jawatan_kabinet,jawatan_parlimen,uid,author_id,new_uid
15,WAN AZIZAH BINTI DR. WAN ISMAIL,1952.0,female,bumiputera,PH,Kuala Lumpur,Bandar Tun Razak,P124,,,4901.0,21238,4901
13,WAN AZIZAH BINTI WAN ISMAIL,1952.0,female,bumiputera,PKR,Pulau Pinang,Permatang Pauh,P044,,,4901.0,21238,4901
14,WAN AZIZAH WAN ISMAIL,1952.0,female,bumiputera,PH - PKR,Selangor,PANDAN,P100,,,4901.0,21238,4901
13,WAN HASSAN BIN MOHD RAMLI,1958.0,male,bumiputera,PAS,Terengganu,Dungun,P039,,,3686.0,21239,3686
14,WAN HASSAN BIN MOHD RAMLI,1958.0,male,bumiputera,PAS,Terengganu,DUNGUN,P039,,,3686.0,21239,3686
15,WAN HASSAN BIN MOHD RAMLI,1957.0,male,bumiputera,PN,Terengganu,Dungun,P039,,,4566.0,21239,3686
12,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,BN - PBB,Sarawak,Santubong,P193,,Timbalan Yang di-Pertua Dewan Rakyat,2242.0,21240,2242
13,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,BN - PBB,Sarawak,Santubong,P193,Menteri Sumber Asli dan Alam Sekitar,,2242.0,21240,2242
14,WAN JUNAIDI BIN TUANKU JAAFAR,1946.0,male,bumiputera,GPS - PBB,Sarawak,SANTUBONG,P193,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),,2242.0,21240,2242
14,WAN MARTINA BINTI WAN YUSOFF,,female,bumiputera,PAS,Kelantan,,,TIADA,Ahli Dewan Negara,,21241,21241
15,WAN MARTINA BINTI WAN YUSOFF,,female,bumiputera,PAS,Kelantan,,,TIADA,Ahli Dewan Negara,,21241,21241
13,WAN MOHAMMAD KHAIR-IL ANUAR WAN AHMAD,1960.0,male,bumiputera,BN - UMNO,Perak,Kuala Kangsar,P067,,,3736.0,21242,3736
15,WAN RAZALI BIN WAN NOR,1981.0,male,bumiputera,PN,Pahang,Kuantan,P083,,,4725.0,21243,4725
15,WAN SAIFULRUDDIN BIN WAN JAN,1975.0,male,bumiputera,PN,Pulau Pinang,Tasek Gelugor,P042,,,4579.0,21244,4579
12,WEE CHOO KEONG,1953.0,male,chinese,PKR > BEBAS,WP Kuala Lumpur,Wangsa Maju,P116,,,1804.0,21245,1804
12,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,Tanjong Piai,P165,,,3529.0,21246,3529
13,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,Tanjong Piai,P165,,,3529.0,21246,3529
14,WEE JECK SENG,1964.0,male,chinese,BN - MCA,Johor,TANJUNG PIAI,P165,Timbalan Menteri Perusahaan Perladangan dan Komoditi II,,3529.0,21246,3529
15,WEE JECK SENG,1964.0,male,chinese,BN,Johor,Tanjung Piai,P165,,,3529.0,21246,3529
12,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,Ayer Hitam,P148,Timbalan Menteri Pelajaran,,3502.0,21247,3502
13,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,Ayer Hitam,P148,Menteri Di Jabatan Perdana Menteri,,3502.0,21247,3502
14,WEE KA SIONG,1968.0,male,chinese,BN - MCA,Johor,AYER HITAM,P148,Menteri Pengangkutan,,3502.0,21247,3502
