vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar,new_key,birth_year
12,P137,Melaka,Bukit katil,3488,Y.B. Datuk,Md Sirat bin Abu,1960.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P137-BKTKATIL.jpg,190,1960
12,P138,Melaka,Kota Melaka,3489,Y.B. Tuan,Sim Tong Him,1949.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P138-KMELAKA.jpg,191,1949
13,P138,Melaka,Kota Melaka,3489,YB,Sim Tong Him,1949.0,male,chinese,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P138.jpg,191,1949
12,P139,Melaka,Jasin,3491,Y.B. Datuk Wira Haji,Ahmad bin Haji Hamzah,1949.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P139-JASIN.jpg,192,1949
13,P139,Melaka,Jasin,3491,YB Datuk Seri Haji,Ahmad bin Hamzah,1949.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P139.jpg,192,1949
14,P139,Melaka,JASIN,3491,YB DATUK SERI HAJI,AHMAD BIN HAMZAH,1949.0,male,bumiputera,BN - UMNO,Timbalan Menteri Pertanian dan Industri Makanan I,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.139-JASIN.png,192,1949
12,P141,Johor,Sekijang,3492,Y.B. Datuk Haji,Baharum bin Haji Mohamed,1957.0,male,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P141-SEKIJANG.jpg,193,1957
12,P142,Johor,Labis,3493,Y.B. Datuk,Chua Tee Yong,1978.0,male,chinese,BN - MCA,Timbalan Menteri Pertanian Dan Industri Asas Tani,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P142-LABIS.jpg,194,1977
13,P142,Johor,Labis,3493,YB Datuk,Chua Tee Yong,1978.0,male,chinese,BN - MCA,Timbalan Menteri Perdagangan Antarabangsa dan Industri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P142.jpg,194,1977
12,P145,Johor,Bakri,3497,Y.B. Tuan,Er Teck Hwa,1973.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P145-BAKRI.jpg,195,1973
13,P145,Johor,Bakri,3497,YB Tuan,Er Teck Hwa,1973.0,male,chinese,DAP,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P145.jpg,195,1973
12,P146,Johor,Muar,3498,Y.B. Dato',Razali bin Haji Ibrahim,1971.0,male,bumiputera,BN - UMNO,Timbalan Menteri Belia Dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P146-MUAR2.jpg,196,1971
13,P146,Johor,Muar,3498,YB Datuk Seri,Razali bin Ibrahim,1971.0,male,bumiputera,BN - UMNO,Timbalan Menteri Di Jabatan Perdana Menteri,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P146.jpg,196,1971
12,P147,Johor,Parit Sulong,3501,Y.B. Dato',Noraini binti Ahmad,1968.0,female,bumiputera,BN - UMNO,,,https://www.parlimen.gov.my/images/webuser/ahli/2010/P147-PARITSULONG.jpg,197,1967
