vol,kod_kawasan,negeri,kawasan,uid,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15,P127,Negeri Sembilan,Jempol,4914,YB Dato' Haji,Shamshulkahar bin Mohd Deli,1961,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P127.jpg
15,P129,Negeri Sembilan,Kuala Pilah,4922,YB Dato',Adnan bin Abu Hassan,1970,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P129.jpg
15,P131,Negeri Sembilan,Rembau,4925,YB Dato' Seri Utama Haji,Mohamad bin Haji Hasan,1956,male,bumiputera,BN,Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P131.png
15,P132,Negeri Sembilan,Port Dickson,4933,YAB Dato' Seri,Aminuddin bin Harun,1967,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/PD.png
15,P133,Negeri Sembilan,Tampin,4934,YB Dato',Mohd Isam bin Mohd Isa,1969,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P133.jpg
15,P135,Melaka,Alor Gajah,4941,YB Tuan Haji,Adly bin Zahari,1971,male,bumiputera,PH,Timbalan Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P135.jpg
15,P136,Melaka,Tangga Batu,4946,YB Tuan Haji,Bakri bin Jamaluddin,1965,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P136.jpg
15,P137,Melaka,Hang Tuah Jaya,4949,YB Tuan,Adam Adli bin Abd Halim,1989,male,bumiputera,PH,Timbalan Menteri Belia dan Sukan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P137.jpg
15,P139,Melaka,Jasin,4959,YB Tuan,Zulkifli bin Ismail,1966,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P139.jpg
15,P140,Johor,Segamat,4962,YB Tuan,Yuneswaran a/l Ramaraj,1986,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P140.jpg
15,P141,Johor,Sekijang,4967,YB Dr.,Zaliha binti Mustafa,1964,female,bumiputera,PH,Menteri di Jabatan Perdana Menteri (Wilayah Persekutuan),,https://www.parlimen.gov.my/images/webuser/ahli/2022/P141.jpg
15,P145,Johor,Bakri,4978,YB Tuan,Tan Hong Pin,1981,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P145.jpg
15,P149,Johor,Sri Gading,4986,YB Tuan Haji,Aminolhuda bin Hassan,1959,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P149.jpg
15,P151,Johor,Simpang Renggam,4997,YB Datuk Seri Utama Ir.,Hasni bin Mohammad,1959,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P151.png
15,P154,Johor,Mersing,5004,YB Tuan Haji,Muhammad Islahuddin bin Abas,1988,male,bumiputera,PN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P154.jpg
15,P155,Johor,Tenggara,5007,YB Tuan Haji,Manndzri bin Haji Nasib,1980,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P155.jpg
15,P156,Johor,Kota Tinggi,5011,YB Dato' Seri,Mohamed Khaled bin Nordin,1958,male,bumiputera,BN,Menteri Pertahanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P156.png
15,P158,Johor,Tebrau,5015,YB Tuan,Jimmy Puah Wee Tse,1976,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P158.jpg
15,P161,Johor,Pulai,5026,YB Tuan,Suhaizan bin Kaiat,1961,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2023/P161.jpg
15,P164,Johor,Pontian,5032,YB Datuk Seri Haji,Ahmad bin Haji Maslan,1966,male,bumiputera,BN,Timbalan Menteri Kerja Raya,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P164.png
15,P166,Labuan,Labuan,5038,YB Dato' Indera Dr.,Suhaili bin Abdul Rahman,1961,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P166.jpg
15,P167,Sabah,Kudat,5046,YB Dato',Verdon bin Bahanda,1973,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P167.jpg
15,P168,Sabah,Kota Marudu,5052,YB Datuk,Wetrom bin Bahanda,1970,male,bumiputera,KDM,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P168.jpg
15,P170,Sabah,Tuaran,5055,YB Datuk Seri Panglima,Madius bin Tangau,1958,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P170.png
15,P171,Sabah,Sepanggar,5064,YB Datuk Ts.,Mustapha Sakmud,1969,male,bumiputera,PH,Timbalan Menteri Pendidikan Tinggi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P171.jpg
15,P173,Sabah,Putatan,5070,YB Datuk Ir.,Shahelmey bin Yahya,1973,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P173.jpg
15,P174,Sabah,Penampang,5073,YB Datuk,Ewon Benedick,1983,male,bumiputera,PH,Menteri Pembangunan Usahawan dan Koperasi,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P174.png
15,P175,Sabah,Papar,5081,YB Datuk,Armizan bin Mohd Ali,1976,male,bumiputera,GRS,Menteri Perdagangan Dalam Negeri dan Kos Sara Hidup,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P175.png
14,P176,Sabah,KIMANIS,5082,YB DATUK,MOHAMAD BIN ALAMIN,1972,male,bumiputera,BN - UMNO,Timbalan Menteri Pendidikan II,,https://www.parlimen.gov.my/images/webuser/ahli/2013/kimanis.png
15,P176,Sabah,Kimanis,5082,YB Datuk,Mohamad bin Alamin,1972,male,bumiputera,BN,Timbalan Menteri Luar Negeri,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P176.png
15,P177,Sabah,Beaufort,5091,YB Datuk Hajah,Siti Aminah binti Aching,1962,female,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P177.jpg
15,P178,Sabah,Sipitang,5093,YB Datuk,Matbali bin Musah,1969,male,bumiputera,GRS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P178.jpg
15,P179,Sabah,Ranau,5097,YB Datuk,Jonathan bin Yasin,1967,male,bumiputera,GRS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P179.png
14,P180,Sabah,KENINGAU,5103,YB DATUK SERI PANGLIMA DR.,GAPARI BIN KATINGAN@ GEOFFREY KITINGAN,1948,male,bumiputera,STAR,,,https://www.parlimen.gov.my/images/webuser/ahli/2013/P.180-KENINGAU.png
15,P180,Sabah,Keningau,5103,YB Datuk Seri Panglima Dr.,Jeffrey G. Kitingan,1947,male,bumiputera,GRS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P180.png
15,P181,Sabah,Tenom,5106,YB Tuan,Riduan bin Rubin,1987,male,bumiputera,BEBAS,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P181.jpg
15,P182,Sabah,Pensiangan,5113,YB Datuk,Arthur Joseph Kurup,1982,male,bumiputera,BN,Timbalan Menteri Pertanian dan Keterjaminan Makanan,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P182.png
15,P184,Sabah,Libaran,5122,YB Datuk,Suhaimi bin Nasir,1968,male,bumiputera,BN,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P184.png
