author_id,vol,nama,gelaran,parti,lantikan,negeri,kawasan,kod_kawasan,tahun_lahir,jantina,kumpulan_etnik,jawatan_kabinet,jawatan_parlimen,penggal,tempoh,tempoh_mula,tempoh_tamat
206,7,G. Pasamanickam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1980-12-15,1983-12-14
206,7,G. Pasamanickam,TIADA,BN - MIC,Dilantik Yang di-Pertuan Agong,TIADA,,,,,indian,TIADA,Ahli Dewan Negara,,,1983-12-05,1986-12-04
207,1,G. Shelley,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,1959-09-11,1965-09-10
207,2,G. Shelley,TIADA,TIADA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,1959-09-11,1968-08-26
208,5,Gan Kong Seng,TIADA,BN - MCA,Dipilih oleh Dewan Undangan Negeri,Negeri Sembilan,,,,,chinese,TIADA,Ahli Dewan Negara,,,1981-06-22,1984-06-21
209,12,Gan Ping Shou @ Gan Ping Sieu,YB Senator Tuan,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,M,chinese,Timbalan Menteri Belia Dan Sukan,TIADA,,02.06.2010 - 01.06.2013,2010-06-02,2013-06-01
210,2,Gan Teck Yeow,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1964-10-19,
210,3,Gan Teck Yeow,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1964-10-19,1970-10-18
210,3,Gan Teck Yeow,TIADA,Perikatan - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1971-02-20,1977-02-19
210,4,Gan Teck Yeow,TIADA,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1964-10-19,1967-10-18
210,4,Gan Teck Yeow,TIADA,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1971-02-20,1974-02-19
211,9,Gapar Gurrohu,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,1997-10-06,2000-10-05
211,10,Gapar Gurrohu,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,1997-10-06,2000-10-05
211,10,Gapar Gurrohu,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,other,TIADA,Ahli Dewan Negara,,,2000-11-02,2003-11-01
212,8,Ghazali Embong,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1991-07-24,1994-07-23
212,8,Ghazali Embong,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1994-07-20,1997-07-19
213,9,Ghazi @ Hasbullah Ramli,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Selangor,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1997-08-11,2000-08-10
213,10,Ghazi @ Hasbullah Ramli,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Selangor,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1997-08-11,2000-08-10
213,10,Ghazi @ Hasbullah Ramli,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Selangor,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2000-09-08,2003-09-07
214,2,Goh Chek Kin,TIADA,Perikatan - MCA,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,chinese,TIADA,Ahli Dewan Negara,,,1965-10-18,1971-10-17
214,3,Goh Chek Kin,TIADA,Perikatan - MCA,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,chinese,TIADA,Ahli Dewan Negara,,,1965-10-18,1971-10-17
215,11,Gooi Hoe Hin,TIADA,BN - Gerakan,Dipilih oleh Dewan Undangan Negeri,Penang,,,,,chinese,TIADA,Ahli Dewan Negara,,,2006-06-16,2009-06-15
216,6,H'ng Hung Yong,TIADA,BN - MCA,Dilantik Yang di-Pertuan Agong,TIADA,,,,,chinese,TIADA,Ahli Dewan Negara,,,1982-07-19,1985-07-18
217,6,Habibah Abdul Ghani,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1983-12-19,1986-12-18
217,7,Habibah Abdul Ghani,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1983-12-19,1986-12-18
218,7,Habidah Jusoh,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1987-02-23,1990-02-22
218,7,Habidah Jusoh,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1989-12-26,1992-12-25
218,8,Habidah Jusoh,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1987-02-23,1990-02-22
218,8,Habidah Jusoh,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Terengganu,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1989-12-26,1992-12-25
219,8,Habshah Osman,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1992-10-27,1995-10-26
220,6,Hafsah Othman,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1982-07-19,1985-07-18
221,10,Halimah Hamzah,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
221,11,Halimah Hamzah,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Pahang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
222,7,Hamid Araby Md. Salih,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Pulau Pinang,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,,
223,9,Hamzah Mohamed Zain,TIADA,BN - UMNO,Dilantik Yang di-Pertuan Agong,TIADA,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,1998-02-05,2001-02-04
224,10,Hamzah Zainudin,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2000-09-08,2003-09-07
224,10,Hamzah Zainudin,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2003-09-17,2006-09-16
224,11,Hamzah Zainudin,TIADA,BN - UMNO,Dipilih oleh Dewan Undangan Negeri,Perak,,,,,bumiputera,TIADA,Ahli Dewan Negara,,,2000-09-08,2003-09-07
