vol,kod_kawasan,negeri,kawasan,gelaran,nama,tahun_lahir,jantina,kumpulan_etnik,parti,jawatan_kabinet,jawatan_parlimen,gambar
15.0,P114,Kuala Lumpur,Kepong,YB Tuan,Lim Lip Eng,1972.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P114.jpg
15.0,P115,Kuala Lumpur,Batu,YB Tuan,Prabakaran a/l M Parameswaran,1996.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P115.png
15.0,P116,Kuala Lumpur,Wangsa Maju,YB Tuan Ir. Ts.,Zahir bin Hassan,1959.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P116.jpg
15.0,P120,Kuala Lumpur,Bukit Bintang,YB Tuan,Fong Kui Lun,1946.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P120.png
15.0,P122,Kuala Lumpur,Seputeh,YB Puan,Teresa Kok Suh Sim,1964.0,female,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P122.jpg
15.0,P123,Kuala Lumpur,Cheras,YB Tuan,Tan Kok Wai,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P123.jpg
15.0,P124,Kuala Lumpur,Bandar Tun Razak,YB Dato' Seri Dr.,Wan Azizah binti Dr. Wan Ismail,1952.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P124.png
15.0,P130,Negeri Sembilan,Rasah,YB Tuan,Cha Kee Chin,1974.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P130.jpg
15.0,P132,Negeri Sembilan,Port Dickson,YAB Dato' Seri,Aminuddin bin Harun,1967.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/PD.png
15.0,P138,Melaka,Kota Melaka,YB Tuan,Khoo Poay Tiong,1971.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P138.jpg
15.0,P140,Johor,Segamat,YB Tuan,Yuneswaran a/l Ramaraj,1986.0,male,indian,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P140.jpg
15.0,P142,Johor,Labis,YB Tuan,Pang Hok Liong,1957.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P142.jpg
15.0,P144,Johor,Ledang,YB Tuan,Syed Ibrahim bin Syed Noh,1964.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P144.jpg
15.0,P145,Johor,Bakri,YB Tuan,Tan Hong Pin,1981.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P145.jpg
15.0,P149,Johor,Sri Gading,YB Tuan Haji,Aminolhuda bin Hassan,1959.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P149.jpg
15.0,P150,Johor,Batu Pahat,YB Tuan Haji,Onn bin Abu Bakar,1963.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P150.jpg
15.0,P152,Johor,Kluang,YB Puan,Wong Shu Qi,1983.0,female,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P152.jpg
15.0,P158,Johor,Tebrau,YB Tuan,Jimmy Puah Wee Tse,1976.0,male,chinese,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P158.jpg
15.0,P159,Johor,Pasir Gudang,YB Tuan,Hassan bin Abdul Karim,1951.0,male,bumiputera,PH,,,https://www.parlimen.gov.my/images/webuser/ahli/2022/P159.jpg
