author_id,vol,author,birth_year,sex,ethnicity,party,negeri,area,kod_kawasan,exec_posts,service_posts,start_date,end_date
3949,15,WILLIE ANAK MONGIN,1975,male,bumiputera,GPS,Sarawak,Puncak Borneo,P198,,,2022-11-19,
3956,14,LARRY SOON @ LARRY SNG WEI SHIEN,1979,male,chinese,BEBAS,Sarawak,JULAU,P209,,,2018-05-09,2018-05-12
3956,14,LARRY SOON @ LARRY SNG WEI SHIEN,1979,male,chinese,PH - PKR,Sarawak,JULAU,P209,,,2018-05-12,2021-02-28
3956,14,LARRY SOON @ LARRY SNG WEI SHIEN,1979,male,chinese,BEBAS,Sarawak,JULAU,P209,,,2021-02-28,2021-11-19
3956,14,LARRY SOON @ LARRY SNG WEI SHIEN,1979,male,chinese,PBM,Sarawak,JULAU,P209,,,2021-11-19,2022-10-10
3956,15,LARRY SOON @ LARRY SNG WEI SHIEN,1979,male,chinese,PBM,Sarawak,Julau,P209,,,2022-11-19,
3958,14,ALI ANAK BIJU,1968,male,bumiputera,PH - PKR,Sarawak,SARATOK,P205,Timbalan Menteri Tenaga dan Sumber Asli,,2018-05-09,2020-02-24
3958,14,ALI ANAK BIJU,1968,male,bumiputera,BEBAS,Sarawak,SARATOK,P205,Timbalan Menteri Tenaga dan Sumber Asli,,2020-02-24,2020-08-22
3958,14,ALI ANAK BIJU,1968,male,bumiputera,BERSATU,Sarawak,SARATOK,P205,Timbalan Menteri Tenaga dan Sumber Asli,,2020-08-22,2022-10-10
3958,15,ALI ANAK BIJU,1968,male,bumiputera,PN,Sarawak,Saratok,P205,,,2022-11-19,
3962,13,WONG LING BIU,1959,male,chinese,DAP,Sarawak,Sarikei,P208,,,2013-05-05,2018-04-07
3962,14,WONG LING BIU,1959,male,chinese,PH - DAP,Sarawak,SARIKEI,P208,,,2018-05-09,2022-10-10
3967,13,ALICE LAU KIONG YIENG,1981,female,chinese,DAP,Sarawak,Lanang,P211,,,2013-05-05,2018-04-07
3967,14,ALICE LAU KIONG YIENG,1981,female,chinese,PH - DAP,Sarawak,LANANG,P211,,,2018-05-09,2022-10-10
3967,15,ALICE LAU KIONG YIENG,1981,female,chinese,PH,Sarawak,Lanang,P211,,Timbalan Yang di-Pertua Dewan Rakyat,2022-11-19,
3969,13,OSCAR LING CHAI YEW,1977,male,chinese,DAP,Sarawak,Sibu,P212,,,2013-05-05,2018-04-07
3969,14,OSCAR LING CHAI YEW,1977,male,chinese,PH - DAP,Sarawak,SIBU,P212,,,2018-05-09,2022-10-10
3969,15,OSCAR LING CHAI YEW,1977,male,chinese,PH,Sarawak,Sibu,P212,,,2022-11-19,
3974,13,WILSON UGAK ANAK KUMBONG,1962,male,bumiputera,BN - PRS,Sarawak,Hulu Rajang,P216,,,2013-05-05,2018-04-07
3974,14,WILSON UGAK ANAK KUMBONG,1962,male,bumiputera,GPS - PRS,Sarawak,HULU RAJANG,P216,,,2018-05-09,2022-10-10
3978,13,ANYI NGAU,1958,male,bumiputera,BN - PDP,Sarawak,Baram,P220,,,2013-05-05,2018-04-07
3978,14,ANYI NGAU,1958,male,bumiputera,GPS - PDP,Sarawak,BARAM,P220,,,2018-05-09,2022-10-10
3978,15,ANYI NGAU,1958,male,bumiputera,GPS,Sarawak,Baram,P220,,,2022-11-19,
3981,14,BARU BIAN,1958,male,bumiputera,PH - PKR,Sarawak,SELANGAU,P214,,,2018-05-09,2020-02-24
3981,14,BARU BIAN,1958,male,bumiputera,BEBAS,Sarawak,SELANGAU,P214,,,2020-02-24,2020-05-30
3981,14,BARU BIAN,1958,male,bumiputera,PSB,Sarawak,SELANGAU,P214,,,2020-05-30,2022-10-10
3986,14,NOOR AMIN BIN AHMAD,1982,male,bumiputera,PH - PKR,Perlis,KANGAR,P002,,,2018-05-09,2022-10-10
3992,14,AMIRUDDIN BIN HAJI HAMZAH,1962,male,bumiputera,BERSATU,Kedah,KUBANG PASU,P006,,,2018-05-09,2020-05-28
3992,14,AMIRUDDIN BIN HAJI HAMZAH,1962,male,bumiputera,BEBAS,Kedah,KUBANG PASU,P006,,,2020-05-28,2020-08-12
3992,14,AMIRUDDIN BIN HAJI HAMZAH,1962,male,bumiputera,PEJUANG,Kedah,KUBANG PASU,P006,,,2020-08-12,2022-10-10
4000,14,CHAN MING KAI,1981,male,bumiputera,PH - PKR,Kedah,ALOR SETAR,P009,,,2018-05-09,2022-10-10
4003,14,AWANG BIN HASHIM,1964,male,bumiputera,PAS,Kedah,PENDANG,P011,Timbalan Menteri Sumber Manusia,,2018-05-09,2022-10-10
4003,15,AWANG BIN HASHIM,1964,male,bumiputera,PN,Kedah,Pendang,P011,,,2022-11-19,
4006,14,SABRI BIN AZIT,1966,male,bumiputera,PAS,Kedah,JERAI,P012,,,2018-05-09,2022-10-10
4006,15,SABRI BIN AZIT,1966,male,bumiputera,PN,Kedah,Jerai,P012,,,2022-11-19,
4008,14,AHMAD TARMIZI BIN SULAIMAN,1976,male,bumiputera,PAS,Kedah,SIK,P013,,,2018-05-09,2022-10-10
4008,15,AHMAD TARMIZI BIN SULAIMAN,1976,male,bumiputera,PN,Kedah,Sik,P013,,,2022-11-19,
4016,14,KARUPAIYA A/L MUTUSAMI,1953,male,indian,PH - PKR,Kedah,PADANG SERAI,P017,,,2018-05-09,2022-10-10
4022,14,CHE ABDULLAH BIN MAT NAWI,1961,male,bumiputera,PAS,Kelantan,TUMPAT,P019,,,2018-05-09,2022-10-10
4027,14,AHMAD FADHLI BIN SHAARI,1980,male,bumiputera,PAS,Kelantan,PASIR MAS,P022,,,2018-05-09,2022-10-10
4027,15,AHMAD FADHLI BIN SHAARI,1980,male,bumiputera,PN,Kelantan,Pasir Mas,P022,,,2022-11-19,
4031,14,IBHARIM BIN TUAN MAN,1960,male,bumiputera,PAS,Kelantan,KUBANG KERIAN,P024,Menteri Alam Sekitar Dan Air,,2018-05-09,2022-10-10
4031,15,IBHARIM BIN TUAN MAN,1960,male,bumiputera,PN,Kelantan,Kubang Kerian,P024,,,2022-11-19,
4037,14,NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,1967,male,bumiputera,PAS,Kelantan,PASIR PUTEH,P028,Timbalan Menteri Pertanian dan Industri Makanan II,,2018-05-09,2022-10-10
4037,15,NIK MUHAMMAD ZAWAWI BIN HAJI SALLEH,1967,male,bumiputera,PN,Kelantan,Pasir Puteh,P028,,,2022-11-19,
4043,14,ABDUL LATIFF BIN ABDUL RAHMAN,1971,male,bumiputera,PAS,Kelantan,KUALA KRAI,P031,,,2018-05-09,2022-10-10
4043,15,ABDUL LATIFF BIN ABDUL RAHMAN,1971,male,bumiputera,PN,Kelantan,Kuala Krai,P031,,,2022-11-19,
4048,14,SHAHARIZUKIRNAIN BIN ABD KADIR,1969,male,bumiputera,PAS,Terengganu,SETIU,P034,,,2018-05-09,2022-10-10
4048,15,SHAHARIZUKIRNAIN BIN ABD KADIR,1969,male,bumiputera,PN,Terengganu,Setiu,P034,,,2022-11-19,
4052,14,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970,male,bumiputera,PAS,Terengganu,KUALA TERENGGANU,P036,"Timbalan Menteri Sains, Teknologi dan Inovasi",,2018-05-09,2022-10-10
4052,15,AHMAD AMZAD BIN MOHAMED @ HASHIM,1970,male,bumiputera,PN,Terengganu,Kuala Terengganu,P036,,,2022-11-19,
4057,14,ROSOL BIN WAHID,1964,male,bumiputera,BN - UMNO,Terengganu,HULU TERENGGANU,P038,Timbalan Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna,,2018-05-09,2018-12-14
4057,14,ROSOL BIN WAHID,1964,male,bumiputera,BEBAS,Terengganu,HULU TERENGGANU,P038,Timbalan Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna,,2018-12-14,2019-02-12
4057,14,ROSOL BIN WAHID,1964,male,bumiputera,BERSATU,Terengganu,HULU TERENGGANU,P038,Timbalan Menteri Perdagangan Dalam Negeri dan Hal Ehwal Pengguna,,2019-02-12,2022-10-10
4057,15,ROSOL BIN WAHID,1964,male,bumiputera,PN,Terengganu,Hulu Terengganu,P038,,,2022-11-19,
4059,14,CHE ALIAS BIN HAMID,1967,male,bumiputera,PAS,Terengganu,KEMAMAN,P040,,,2018-05-09,2022-10-10
4059,15,CHE ALIAS BIN HAMID,1967,male,bumiputera,PAS,Terengganu,Kemaman,P040,,,2022-11-19,2023-09-26
4059,15,CHE ALIAS BIN HAMID,1967,male,bumiputera,PAS,Terengganu,,,,Ahli Dewan Negara,2024-11-21,2027-11-20
